DistrictID,Stream,District,System,Year,Type,SumOfTotal
321,100,Ugashik,Ugashik,1956,Escapement,425295
321,100,Ugashik,Ugashik,1957,Escapement,214802
321,100,Ugashik,Ugashik,1958,Escapement,279546
321,100,Ugashik,Ugashik,1959,Escapement,219228
321,100,Ugashik,Ugashik,1960,Escapement,2304200
321,100,Ugashik,Ugashik,1961,Escapement,348639
321,100,Ugashik,Ugashik,1962,Escapement,255426
321,100,Ugashik,Ugashik,1963,Escapement,388254
321,100,Ugashik,Ugashik,1964,Escapement,472770
321,100,Ugashik,Ugashik,1965,Escapement,996612
321,100,Ugashik,Ugashik,1966,Escapement,704436
321,100,Ugashik,Ugashik,1967,Escapement,238830
321,100,Ugashik,Ugashik,1968,Escapement,70896
321,100,Ugashik,Ugashik,1969,Escapement,160380
321,100,Ugashik,Ugashik,1970,Escapement,735024
321,100,Ugashik,Ugashik,1971,Escapement,529752
321,100,Ugashik,Ugashik,1972,Escapement,79428
321,100,Ugashik,Ugashik,1973,Escapement,38988
321,100,Ugashik,Ugashik,1974,Escapement,61854
321,100,Ugashik,Ugashik,1975,Escapement,429336
321,100,Ugashik,Ugashik,1976,Escapement,356308
321,100,Ugashik,Ugashik,1977,Escapement,201520
321,100,Ugashik,Ugashik,1978,Escapement,82435
321,100,Ugashik,Ugashik,1979,Escapement,1706904
321,100,Ugashik,Ugashik,1980,Escapement,3335284
321,100,Ugashik,Ugashik,1981,Escapement,1327699
321,100,Ugashik,Ugashik,1982,Escapement,1185551
321,100,Ugashik,Ugashik,1983,Escapement,1001364
321,100,Ugashik,Ugashik,1984,Escapement,1270318
321,100,Ugashik,Ugashik,1985,Escapement,1006407
321,100,Ugashik,Ugashik,1986,Escapement,1015582
321,100,Ugashik,Ugashik,1987,Escapement,686894
321,100,Ugashik,Ugashik,1988,Escapement,654412
321,100,Ugashik,Ugashik,1989,Escapement,1713287
321,100,Ugashik,Ugashik,1990,Escapement,749478
321,100,Ugashik,Ugashik,1991,Escapement,2482016
321,100,Ugashik,Ugashik,1992,Escapement,2194927
321,100,Ugashik,Ugashik,1993,Escapement,1413454
321,100,Ugashik,Ugashik,1994,Escapement,1095068
321,100,Ugashik,Ugashik,1995,Escapement,1321108
321,100,Ugashik,Ugashik,1996,Escapement,692167
321,100,Ugashik,Ugashik,1997,Escapement,656641
321,100,Ugashik,Ugashik,1998,Escapement,924853
321,100,Ugashik,Ugashik,1999,Escapement,1662042
321,100,Ugashik,Ugashik,2000,Escapement,638420
321,100,Ugashik,Ugashik,2001,Escapement,866368
321,100,Ugashik,Ugashik,2002,Escapement,905584
321,100,Ugashik,Ugashik,2003,Escapement,790202
321,100,Ugashik,Ugashik,2004,Escapement,815104
321,100,Ugashik,Ugashik,2005,Escapement,799612
321,100,Ugashik,Ugashik,2006,Escapement,1003158
321,100,Ugashik,Ugashik,2007,Escapement,2599186
321,100,Ugashik,Ugashik,2008,Escapement,596332
321,100,Ugashik,Ugashik,2009,Escapement,1364338
321,100,Ugashik,Ugashik,2010,Escapement,830886
321,100,Ugashik,Ugashik,2011,Escapement,1029853
322,100,Egegik,Egegik,1956,Escapement,1104268
322,100,Egegik,Egegik,1957,Escapement,391207
322,100,Egegik,Egegik,1958,Escapement,246354
322,100,Egegik,Egegik,1959,Escapement,1072459
322,100,Egegik,Egegik,1960,Escapement,1798764
322,100,Egegik,Egegik,1961,Escapement,701538
322,100,Egegik,Egegik,1962,Escapement,1027482
322,100,Egegik,Egegik,1963,Escapement,997602
322,100,Egegik,Egegik,1964,Escapement,849576
322,100,Egegik,Egegik,1965,Escapement,1444608
322,100,Egegik,Egegik,1966,Escapement,804246
322,100,Egegik,Egegik,1967,Escapement,636864
322,100,Egegik,Egegik,1968,Escapement,338654
322,100,Egegik,Egegik,1969,Escapement,1015554
322,100,Egegik,Egegik,1970,Escapement,919734
322,100,Egegik,Egegik,1971,Escapement,634014
322,100,Egegik,Egegik,1972,Escapement,546402
322,100,Egegik,Egegik,1973,Escapement,328842
322,100,Egegik,Egegik,1974,Escapement,1275630
322,100,Egegik,Egegik,1975,Escapement,1173840
322,100,Egegik,Egegik,1976,Escapement,509160
322,100,Egegik,Egegik,1977,Escapement,692514
322,100,Egegik,Egegik,1978,Escapement,895698
322,100,Egegik,Egegik,1979,Escapement,1032042
322,100,Egegik,Egegik,1980,Escapement,1060860
322,100,Egegik,Egegik,1981,Escapement,694680
322,100,Egegik,Egegik,1982,Escapement,1034628
322,100,Egegik,Egegik,1983,Escapement,792282
322,100,Egegik,Egegik,1984,Escapement,1165345
322,100,Egegik,Egegik,1985,Escapement,1095192
322,100,Egegik,Egegik,1986,Escapement,1152180
322,100,Egegik,Egegik,1987,Escapement,1273553
322,100,Egegik,Egegik,1988,Escapement,1612745
322,100,Egegik,Egegik,1989,Escapement,1611566
322,100,Egegik,Egegik,1990,Escapement,2191582
322,100,Egegik,Egegik,1991,Escapement,2786925
322,100,Egegik,Egegik,1992,Escapement,1945632
322,100,Egegik,Egegik,1993,Escapement,1517000
322,100,Egegik,Egegik,1994,Escapement,1897977
322,100,Egegik,Egegik,1995,Escapement,1266692
322,100,Egegik,Egegik,1996,Escapement,1076460
322,100,Egegik,Egegik,1997,Escapement,1104004
322,100,Egegik,Egegik,1998,Escapement,1110938
322,100,Egegik,Egegik,1999,Escapement,1728397
322,100,Egegik,Egegik,2000,Escapement,1032138
322,100,Egegik,Egegik,2001,Escapement,968872
322,100,Egegik,Egegik,2002,Escapement,1036092
322,100,Egegik,Egegik,2003,Escapement,1152120
322,100,Egegik,Egegik,2004,Escapement,1290144
322,100,Egegik,Egegik,2005,Escapement,1621734
322,100,Egegik,Egegik,2006,Escapement,1465158
322,100,Egegik,Egegik,2007,Escapement,1432500
322,100,Egegik,Egegik,2008,Escapement,1259568
322,100,Egegik,Egegik,2009,Escapement,1146276
322,100,Egegik,Egegik,2010,Escapement,927054
322,100,Egegik,Egegik,2011,Escapement,961200
324,100,Naknek_Kvichak,Kvichak,1956,Escapement,9443318
324,100,Naknek_Kvichak,Kvichak,1957,Escapement,2842810
324,100,Naknek_Kvichak,Kvichak,1958,Escapement,534785
324,100,Naknek_Kvichak,Kvichak,1959,Escapement,673811
324,100,Naknek_Kvichak,Kvichak,1960,Escapement,14602360
324,100,Naknek_Kvichak,Kvichak,1961,Escapement,3705849
324,100,Naknek_Kvichak,Kvichak,1962,Escapement,2580884
324,100,Naknek_Kvichak,Kvichak,1963,Escapement,338760
324,100,Naknek_Kvichak,Kvichak,1964,Escapement,957120
324,100,Naknek_Kvichak,Kvichak,1965,Escapement,24325926
324,100,Naknek_Kvichak,Kvichak,1966,Escapement,3755185
324,100,Naknek_Kvichak,Kvichak,1967,Escapement,3216208
324,100,Naknek_Kvichak,Kvichak,1968,Escapement,2557440
324,100,Naknek_Kvichak,Kvichak,1969,Escapement,8394204
324,100,Naknek_Kvichak,Kvichak,1970,Escapement,13935306
324,100,Naknek_Kvichak,Kvichak,1971,Escapement,2387392
324,100,Naknek_Kvichak,Kvichak,1972,Escapement,1009962
324,100,Naknek_Kvichak,Kvichak,1973,Escapement,226554
324,100,Naknek_Kvichak,Kvichak,1974,Escapement,4433844
324,100,Naknek_Kvichak,Kvichak,1975,Escapement,13140450
324,100,Naknek_Kvichak,Kvichak,1976,Escapement,1965282
324,100,Naknek_Kvichak,Kvichak,1977,Escapement,1341144
324,100,Naknek_Kvichak,Kvichak,1978,Escapement,4149288
324,100,Naknek_Kvichak,Kvichak,1979,Escapement,11218434
324,100,Naknek_Kvichak,Kvichak,1980,Escapement,22505268
324,100,Naknek_Kvichak,Kvichak,1981,Escapement,1754358
324,100,Naknek_Kvichak,Kvichak,1982,Escapement,1134840
324,100,Naknek_Kvichak,Kvichak,1983,Escapement,3569982
324,100,Naknek_Kvichak,Kvichak,1984,Escapement,10490670
324,100,Naknek_Kvichak,Kvichak,1985,Escapement,7211046
324,100,Naknek_Kvichak,Kvichak,1986,Escapement,1179322
324,100,Naknek_Kvichak,Kvichak,1987,Escapement,6065880
324,100,Naknek_Kvichak,Kvichak,1988,Escapement,4065216
324,100,Naknek_Kvichak,Kvichak,1989,Escapement,8317500
324,100,Naknek_Kvichak,Kvichak,1990,Escapement,6970020
324,100,Naknek_Kvichak,Kvichak,1991,Escapement,4222788
324,100,Naknek_Kvichak,Kvichak,1992,Escapement,4725864
324,100,Naknek_Kvichak,Kvichak,1993,Escapement,4025166
324,100,Naknek_Kvichak,Kvichak,1994,Escapement,8355936
324,100,Naknek_Kvichak,Kvichak,1995,Escapement,10038720
324,100,Naknek_Kvichak,Kvichak,1996,Escapement,1450578
324,100,Naknek_Kvichak,Kvichak,1997,Escapement,1503732
324,100,Naknek_Kvichak,Kvichak,1998,Escapement,2296074
324,100,Naknek_Kvichak,Kvichak,1999,Escapement,6196914
324,100,Naknek_Kvichak,Kvichak,2000,Escapement,1827780
324,100,Naknek_Kvichak,Kvichak,2001,Escapement,1095348
324,100,Naknek_Kvichak,Kvichak,2002,Escapement,703884
324,100,Naknek_Kvichak,Kvichak,2003,Escapement,1686804
324,100,Naknek_Kvichak,Kvichak,2004,Escapement,5500134
324,100,Naknek_Kvichak,Kvichak,2005,Escapement,2320332
324,100,Naknek_Kvichak,Kvichak,2006,Escapement,3068226
324,100,Naknek_Kvichak,Kvichak,2007,Escapement,2810208
324,100,Naknek_Kvichak,Kvichak,2008,Escapement,2757912
