Igushik   ,0.1,0.2,0.3,0.4,0.5,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,TOTAL,,
Catch, - , - , - , - , - , 97 ," 90,641 "," 609,410 ", 0 , - , 0 , 0 , 0 , - , - , - , - , - ," 700,148 ",,
Escapement, 0 , 0 , 0 , 0 , 0 , 721 ," 73,575 "," 181,778 ", 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ," 256,074 ",,
Reallocated Esc Obs Error, - , - , - , - , - , 0 , 0 , 0 , 0 , - , 0 , 0 , 0 , - , - , - , - , - , 0 ,,
Igushik Set, NA , - , - , - , - , - ," 65,482 "," 310,235 "," 1,016 ", - , - ," 5,200 "," 3,182 ", - , - , - , - , NA ," 385,115 ",,
WRSHA, NA , - , - , - , - , 25 , 683 , 92 , - , - , 1 , 28 , 1 , - , - , - , - , NA , 830 ,,
Offshore Catch, 0 , 0 , 0 , 0 , 0 , 7 ," 1,940 "," 9,278 ", 9 , 0 , 0 , 44 , 27 , 0 , 0 , 0 , 0 , 0 ," 11,305 ",,
Total, 0 , 0 , 0 , 0 , 0 , 851 ," 232,321 "," 1,110,792 "," 1,025 ", 0 , 1 ," 5,272 "," 3,210 ", 0 , 0 , 0 , 0 , 0 ," 1,353,472 ",,
,,,,,,,,,,,,,,,,,,,,,
Wood,0.1,0.2,0.3,0.4,0.5,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,TOTAL,,
Catch, - , - , - , - , - ," 16,970 "," 6,077,455 "," 3,470,044 ", 0 , - , 925 ," 256,868 "," 47,713 ", - , - , - , - , - ," 9,869,975 ",,
Escapement, 0 , 0 , 0 , 0 , 0 ," 62,693 "," 1,703,188 "," 228,824 ", 0 , 0 ," 3,416 "," 71,986 "," 3,146 ", 0 , 0 , 0 , 0 , 0 ," 2,073,253 ",,
Reallocated Esc Obs Error, - , - , - , - , - , 1 , 19 , 3 , 0 , - , 0 , 1 , 0 , - , - , - , - , - , 23 ,,
Igushik Set, NA , - , - , - , - , - ," 4,770 "," 22,598 ", 74 , - , - , 379 , 232 , - , - , - , - , NA ," 28,052 ",,
WRSHA, NA , - , - , - , - ," 6,836 "," 185,878 "," 24,963 ", - , - , 375 ," 7,751 ", 333 , - , - , - , - , NA ," 226,137 ",,
Offshore Catch, 0 , 0 , 0 , 0 , 0 ," 1,001 "," 92,273 "," 43,367 ", 1 , 0 , 55 ," 3,901 ", 595 , 0 , 0 , 0 , 0 , 0 ," 141,193 ",,
Total, 0 , 0 , 0 , 0 , 0 ," 87,500 "," 8,063,583 "," 3,789,800 ", 75 , 0 ," 4,770 "," 340,886 "," 52,020 ", 0 , 0 , 0 , 0 , 0 ," 12,338,634 ",,
,,,,,,,,,,,,,,,,,,,,,
Nushagak,0.1,0.2,0.3,0.4,0.5,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,TOTAL,,
Catch, - , - , - , - , - ," 1,010 "," 318,024 "," 3,081,409 "," 32,311 ", - , 0 ," 42,335 "," 50,617 ", - , - , - , - , - ," 3,525,705 ",,
Escapement, 0 , 0 , 0 , 0 , 0 ," 5,479 "," 165,381 "," 502,366 "," 5,946 ", 0 , 0 ," 22,015 "," 8,252 ", 0 , 0 , 0 , 0 , 0 ," 709,440 ",,
Reallocated Esc Obs Error, - , - , - , - , - , (0), (2), (6), (0), - , (0), (0), (0), - , - , - , - , - , (9),,
Igushik Set, NA , - , - , - , - , - , 412 ," 1,953 ", 6 , - , - , 33 , 20 , - , - , - , - , NA ," 2,424 ",,
WRSHA, NA , - , - , - , - , 556 ," 15,113 "," 2,030 ", - , - , 31 , 630 , 27 , - , - , - , - , NA ," 18,386 ",,
Offshore Catch, 0 , 0 , 0 , 0 , 0 , 83 ," 5,870 "," 42,207 ", 450 , 0 , 0 , 765 , 693 , 0 , 0 , 0 , 0 , 0 ," 50,068 ",,
Total, 0 , 0 , 0 , 0 , 0 ," 7,128 "," 504,797 "," 3,629,958 "," 38,713 ", 0 , 31 ," 65,778 "," 59,609 ", 0 , 0 , 0 , 0 , 0 ," 4,306,014 ",,
,,,,,,,,,,,,,,,,,,,,,
Kvichak   ,0.1,0.2,0.3,0.4,0.5,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,TOTAL,,
