"","Escapement","District Catches","EscapementObsError","OffshoreCatch","Extra Catches","Total Esc","Total Catch no Offshore","Total Catch","Run Size","Run Size no Offshore"
"1963",208310.528247002,119539.628038761,-5006.52830000001,55294.6529872359,0,203303.999947002,119539.628038761,174834.281025996,378138.280972998,322843.627985762
"1964",248788.759258229,473581.332706217,-88.7592000000004,37101.7176086453,0,248700.000058229,473581.332706217,510683.050314863,759383.050373091,722281.332764446
"1965",175018.90455311,172365.888119609,1.09549999999581,50474.7201299471,0,175020.00005311,172365.888119609,222840.608249556,397860.608302665,347385.888172718
"1966",173118.112750004,170559.735718884,1217.8872,49181.4232845696,0,174335.999950004,170559.735718884,219741.159003453,394077.158953457,344895.735668887
"1967",199775.936053203,106916.728076133,2850.06390000001,34762.8574477442,0,202625.999953203,106916.728076133,141679.585523878,344305.58547708,309542.728029336
"1968",194276.880405702,71000.7514875562,-404.880399999995,49160.805865858,0,193872.000005702,71000.7514875562,120161.557353414,314033.557359116,264872.751493258
"1969",182415.935141205,97984.458605155,74.0648999999976,43814.4965209585,0,182490.000041205,97984.458605155,141798.955126113,324288.955167319,280474.45864636
"1970",176781.736442004,261225.715417268,278.263600000006,62493.7960070998,0,177060.000042004,261225.715417268,323719.511424367,500779.511466371,438285.715459271
"1971",187363.274809301,272762.029950099,-61.2748000000138,77229.4945258725,0,187302.000009301,272762.029950099,349991.524475971,537293.524485273,460064.0299594
"1972",148968.024375002,75102.9147766978,2219.97560000001,76298.3923919447,0,151187.999975002,75102.9147766978,151401.307168642,302589.307143644,226290.9147517
"1973",35236.6177823013,8391.5282454583,43.3822199999995,19881.4411267133,0,35280.0000023013,8391.5282454583,28272.9693721716,63552.9693744729,43671.5282477596
"1974",215278.696804002,20322.9238913865,-430.696800000005,12408.8065388815,0,214848.000004002,20322.9238913865,32731.730430268,247579.73043427,235170.923895388
"1975",100535.326038007,5081.0110084293,-55.3260000000009,7095.69057975823,0,100480.000038007,5081.0110084293,12176.7015881875,112656.701626194,105561.011046436
"1976",81445.7041623026,59482.5531513359,376.295849999995,16145.1175291738,0,81822.0000123026,59482.5531513359,75627.6706805097,157449.670692812,141304.553163639
"1977",108939.763500039,103777.785666841,-29.2635000000009,22227.0485440407,0,108910.500000039,103777.785666841,126004.834210881,234915.33421092,212688.28566688
"1978",581252.28246415,475958.295764172,3717.71750000003,49773.8588231293,0,584969.99996415,475958.295764172,525732.154587301,1110702.15455145,1060928.29572832
"1979",752077.250854827,824059.405692983,-1867.25089999998,45917.5331388608,0,750209.999954827,824059.405692983,869976.938831844,1620186.93878667,1574269.40564781
"1980",759522.035377154,46146.1139690426,122.964700000011,49869.748364717,0,759645.000077154,46146.1139690426,96015.8623337595,855660.862410914,805791.114046197
"1981",209690.657746568,409828.100055504,-55.1577999999863,47771.0975252935,0,209635.499946568,409828.100055504,457599.197580798,667234.697527366,619463.600002073
"1982",610046.860010036,596944.906479035,168.140000000014,138415.913349455,0,610215.000010036,596944.906479035,735360.81982849,1345575.81983853,1207159.90648907
"1983",245359.928142024,2292644.60237904,1.07190000000992,126569.57528771,0,245361.000042024,2292644.60237904,2419214.17766675,2664575.17770877,2538005.60242106
"1984",550866.534093266,597478.472134127,-1673.03410000005,46577.4709738622,0,549193.499993266,597478.472134127,644055.943107989,1193249.44310125,1146671.97212739
"1985",300984.524129751,483785.074676845,-8.02409999998054,42049.3374262421,16769.19671,300976.500029752,500554.271386845,542603.608813087,843580.108842839,801530.771416597
"1986",593953.311547978,398143.965680915,-6994.31149999995,31848.3763400248,3987.366263,586959.000047978,402131.331943915,433979.708283939,1020938.70833192,989090.331991892
"1987",396850.273563149,302854.915590341,-3614.77350000001,24780.5639741737,59866.33942,393235.500063149,362721.255010341,387501.818984514,780737.319047664,755956.75507349
"1988",497197.813534179,278552.460926027,-891.313599999994,25229.6906681772,51045.94698,496306.499934179,329598.407906027,354828.098574204,851134.598508383,825904.907840206
"1989",504717.577012106,654816.649805813,-2979.57699999999,46932.0158212404,175883.1008,501738.000012106,830699.750605813,877631.766427054,1379369.76643916,1332437.75061792
"1990",431397.262965302,916031.201854396,-1059.26289999997,38734.5120342761,206321.4726,430338.000065302,1122352.6744544,1161087.18648867,1591425.18655397,1552690.6745197
"1991",708695.939479138,820497.952979833,-844.039400000009,57232.7678313776,99072.24984,707851.900079138,919570.202819833,976802.97065121,1684654.87073035,1627422.10289897
"1992",585130.543301988,758654.257867045,-7190.84330000007,73413.8991726346,51630.72879,577939.700001988,810284.986657045,883698.88582968,1461638.58583167,1388224.68665903
"1993",887335.095319977,1323732.50738379,1.10459999996237,127094.081098775,113572.1262,887336.199919977,1437304.63358379,1564398.71468256,2451734.91460254,2324640.83350376
"1994",621126.954416395,1142480.54359202,-2662.75450000004,52046.9700696256,249031.686,618464.199916395,1391512.22959202,1443559.19966165,2062023.39957804,2009976.42950841
"1995",550068.095627609,1320172.72949622,0.104399999952875,66600.8344321061,261936.177,550068.200027609,1582108.90649622,1648709.74092832,2198777.94095593,2132177.10652383
"1996",799382.288161763,1487119.97446496,-17169.7881,64532.9233957681,49676.33693,782212.500061763,1536796.31139496,1601329.23479073,2383541.73485249,2319008.81145672
"1997",556338.382254238,181916.745966899,-145.182200000039,62884.3458892256,13341.905968,556193.200054238,195258.651934899,258142.997824125,814336.197878363,751451.851989137
"1998",654565.248363327,422065.7051162,-11455.2483,76714.0831928492,43701.51491542,643110.000063327,465767.22003162,542481.303224469,1185591.3032878,1108877.22009495
"1999",1181658.17590001,1607092.92245851,521.824000000022,104514.10239431,135149.625431,1182179.99990001,1742242.54788951,1846756.65028382,3028936.65018383,2924422.54778952
"2000",1150814.88800829,862052.640887054,0.11199999996461,97743.6428849094,78554.89802,1150815.00000829,940607.538907054,1038351.18179196,2189166.18180026,2091422.53891535
"2001",684392.027250551,377833.375242633,-3542.02720000001,8201.31571135695,120027.864,680850.000050551,497861.239242633,506062.55495399,1186912.55500454,1178711.23929318
"2002",766959.114742718,89109.3471428536,2.88529999996535,33102.87726803,52126.30843,766962.000042718,141235.655572854,174338.532840884,941300.532883602,908197.655615572
"2003",3547433.01187901,290969.961508697,128712.988,75336.4940707623,115333.3559,3676145.99987901,406303.317408697,481639.811479459,4157785.81135847,4082449.31728771
"2004",5290409.16538391,1789480.57436891,106182.835,227708.677279996,112167.88493,5396592.00038391,1901648.45929891,2129357.13657891,7525949.13696282,7298240.45968283
"2005",4216621.98603602,429113.067853171,2368.01400000043,135896.487857101,440716.02368,4218990.00003602,869829.091533171,1005725.57939027,5224715.57942629,5088819.09156919
"2006",1769731.10042101,1307154.80040704,4234.89899999998,71512.5541494828,190245.56302,1773965.99942101,1497400.36342704,1568912.91757652,3342878.91699753,3271366.36284805
"2007",2461050.96824801,1665764.39628747,5363.03200000012,163418.726954374,475635.55981,2466414.00024801,2141399.95609747,2304818.68305184,4771232.68329985,4607813.95634547
