"","years","pred.baywide.total"
"1",1963,5461516.93803892
"2",1964,8202883.00174206
"3",1965,58302436.9157292
"4",1966,16471986.9644223
"5",1967,9609934.61796481
"6",1968,7273414.24074009
"7",1969,19338749.0426493
"8",1970,41028286.6940622
"9",1971,14944130.5744465
"10",1972,5809543.35342116
"11",1973,2009251.20420274
"12",1974,8354565.10211977
"13",1975,22307672.8458723
"14",1976,9226978.28086397
"15",1977,8251072.43056522
"16",1978,13462013.6593548
"17",1979,34240419.8167811
"18",1980,51959683.8652248
"19",1981,25045442.0636871
"20",1982,15285936.1474213
"21",1983,40064466.8701489
"22",1984,38625937.5493865
"23",1985,35446851.4967612
"24",1986,19258476.7960842
"25",1987,22713102.8019958
"26",1988,19946863.4351725
"27",1989,40704409.1262848
"28",1990,43402790.4112511
"29",1991,35246713.0180586
"30",1992,41545416.4177969
"31",1993,46561036.0593526
"32",1994,45663452.1497385
"33",1995,55353470.2171783
"34",1996,29307522.9388643
"35",1997,15558237.8352376
"36",1998,13943600.14028
"37",1999,32638526.8421671
"38",2000,20195412.8173523
"39",2001,14152341.3452548
"40",2002,12696142.0863956
"41",2003,16779035.5068468
"42",2004,35529129.8512683
"43",2005,29349971.8165381
"44",2006,26793527.863684
"45",2007,33921951.9803316
"46",2008,30617614.6838692
"47",2009,30364789.0569079
"48",2010,29166174.9587063
"49",2011,23805351.685049
"50",2012,26655846.3048776
"51",2013,19086355.8617694
"52",2014,30773162.6661501
"53",2015,50197265.9931365
"54",2016,41255282.6352979
"55",2017,38087746.2106103
"56",2018,28156584.0378909
