"","V1","V2","V3"
"1",0.957902,0.695582,0.188695
"2",2.243701,1.103935,0.576768
"3",19.139567,3.179559,0.92569
"4",5.397538,2.101174,0.445458
"5",2.3372,1.070942,0.163744
"6",1.216858,0.671554,0.082457
"7",4.655072,0.889322,0.169845
"8",17.803805,1.403509,0.171541
"9",5.857378,1.306682,0.954068
"10",1.102365,0.83982,0.01744
"11",0.168249,0.221337,0.00392
"12",0.538163,0.172253,0.002151
"13",3.085416,0.964024,0.014558
"14",2.547276,1.329788,0.174923
"15",2.167214,1.780567,0.092623
"16",5.123668,1.207294,0.007995
"17",14.991826,2.257332,0.391118
"18",15.120457,2.623066,0.885875
"19",10.992809,4.361406,2.116066
"20",5.005802,2.447514,1.139192
"21",21.559372,6.755256,3.349451
"22",14.54671,5.190413,2.658376
"23",8.095015,7.537273,6.468862
"24",2.872179,4.852935,5.002949
"25",4.685842,5.356669,2.128652
"26",3.2249,6.456598,1.52352
"27",12.928107,8.901994,3.146239
"28",16.237762,10.371762,2.149009
"29",9.978474,6.797166,2.945742
"30",9.13708,15.646575,3.320966
"31",8.338444,21.600858,4.1769
"32",15.079254,10.750213,4.352797
"33",18.966276,14.425979,4.509446
"34",7.962914,10.809115,4.411055
"35",0.362889,7.517389,1.40269
"36",2.376081,3.528845,0.730239
"37",8.667582,7.38808,2.256007
"38",3.520868,7.029397,1.53879
"39",2.310559,2.872662,0.480509
"40",0.035058,4.610374,1.573234
"41",0.286515,2.291502,1.748934
"42",3.732497,11.18768,3.21942
"43",1.91184,8.01595,2.216635
"44",4.562198,7.408233,2.429597
"45",4.728453,6.495908,5.026615
"46",9.663078,7.403885,2.334022
"47",7.766953,11.527462,2.555263
"48",9.874251,5.070816,4.031832
"49",8.382249,4.810362,2.643495
"50",9.296022,4.998273,2.418596
"51",4.464741,4.778479,2.16819
"52",12.684537,6.944923,1.472367
"53",15.341998,8.470567,5.473786
"54",12.40363,8.74003,6.631116
"55",5.925905,11.981519,5.706751
"56",5.864088,5.151129,2.772643
"57",8.564879,14.686551,1.038188
"58",11.694028,13.366757,2.612373
