"","V1","V2","V3","V4","V5"
"1",0.33876,0.203304,0.905358,0.997602,0.388254
"2",0.95712,0.2487,1.349604,0.849576,0.47277
"3",24.325926,0.17502,0.717798,1.444608,0.996612
"4",3.755185,0.174336,1.016445,0.804246,0.704436
"5",3.216208,0.202626,0.75564,0.636864,0.23883
"6",2.55744,0.193872,1.023222,0.338654,0.070896
"7",8.394204,0.18249,1.331202,1.015554,0.16038
"8",13.935306,0.17706,0.732502,0.919734,0.735024
"9",2.387392,0.187302,0.935754,0.634014,0.529752
"10",1.009962,0.151188,0.586518,0.546402,0.079428
"11",0.226554,0.03528,0.356676,0.328842,0.038988
"12",4.433844,0.214848,1.241058,1.27563,0.061854
"13",13.14045,0.10048,2.026686,1.17384,0.429336
"14",1.965282,0.081822,1.32075,0.50916,0.356308
"15",1.341144,0.1089105,1.085856,0.692514,0.20152
"16",4.149288,0.58497,0.813378,0.895698,0.082435
"17",11.218434,0.75021,0.925362,1.032042,1.706904
"18",22.505268,0.759645,2.644698,1.06086,3.335284
"19",1.754358,0.2096355,1.79622,0.69468,1.327699
"20",1.13484,0.610215,1.155552,1.034628,1.185551
"21",3.569982,0.245361,0.888294,0.792282,1.001364
"22",10.49067,0.5491935,1.242474,1.165345,1.270318
"23",7.211046,0.3009765,1.849938,1.095192,1.006407
"24",1.179322,0.586959,1.977645,1.15218,1.015582
"25",6.06588,0.3932355,1.061806,1.273553,0.686894
"26",4.065216,0.4963065,1.037862,1.612745,0.654412
"27",8.3175,0.501738,1.161984,1.611566,1.713287
"28",6.97002,0.430338,2.092578,2.191582,0.749478
"29",4.222788,0.7078519,3.578508,2.786925,2.482016
"30",4.725864,0.5779397,1.60665,1.945632,2.194927
"31",4.025166,0.8873362,1.535658,1.517,1.413454
"32",8.355936,0.6184642,0.99081,1.897977,1.095068
"33",10.03872,0.5500682,1.11114,1.266692,1.321108
"34",1.450578,0.7822125,1.078098,1.07646,0.692167
"35",1.503732,0.5561932,1.025664,1.104004,0.656641
"36",2.296074,0.64311,1.202172,1.110938,0.924853
"37",6.196914,1.18218,1.625364,1.728397,1.662042
"38",1.82778,1.150815,1.375488,1.032138,0.63842
"39",1.095348,0.68085,1.83036,0.968872,0.866368
"40",0.703884,0.766962,1.263918,1.036092,0.905584
"41",1.686804,3.676146,1.83117,1.15212,0.790202
"42",5.500134,5.396592,1.939674,1.290144,0.815104
"43",2.320332,4.21899,2.744622,1.621734,0.799612
"44",3.068226,1.773966,1.953228,1.465158,1.003158
"45",2.810208,2.466414,2.945304,1.4325,2.599186
"46",2.757912,2.180502,2.47269,1.259568,0.596332
"47",2.26614,0.970818,1.169466,1.146276,1.364338
"48",4.20741,1.18773,1.463928,0.927054,0.830886
"49",2.264352,0.883794,1.177074,0.9612,1.029853
"50",4.164444,0.861747,0.900312,1.2339,0.695018
"51",2.088576,1.09595,0.93816,1.11363,0.89811
"52",4.45854,0.2005,1.474428,1.382466,0.640158
"53",7.341612,5.77065,1.920954,2.160792,1.564638
"54",4.462728,1.77582,1.69191,1.83726,1.63527
"55",3.163404,2.041824,1.899972,2.600982,1.186446
"56",4.398708,1.581426,2.221152,1.608357,1.167792
"57",2.371242,0.820458,2.91147,2.34021,1.547748
"58",4.030968,2.386518,4.11216,2.389728,1.74594
"59",4.70352,3.236904,2.796534,1.832196,2.85993
"60",4.224882,1.668222,1.921296,1.786152,1.436784
"61",3.751686,1.09905,1.156206,1.5627,1.128896
