"","Escapement","District Catches","EscapementObsError","OffshoreCatch","Extra Catches","Total Esc","Total Catch no Offshore","Total Catch","Run Size","Run Size no Offshore"
"1963",996839.998433,706906.730759932,762.001500000013,287351.042410369,0,997601.999933,706906.730759932,994257.773170301,1991859.7731033,1704508.73069293
"1964",849827.244143242,1064693.51863768,-251.244100000011,98331.8793059005,0,849576.000043242,1064693.51863768,1163025.39794358,2012601.39798683,1914269.51868093
"1965",1475157.61865801,3066449.89282056,-30549.6189999999,659891.776985224,0,1444607.99965801,3066449.89282056,3726341.66980578,5170949.66946379,4511057.89247856
"1966",811064.228108601,1735223.02308351,-6818.22820000001,364382.027183388,0,804245.999908601,1735223.02308351,2099605.0502669,2903851.0501755,2539469.02299211
"1967",640981.4122886,912154.650960858,-4117.41229999997,176044.144059145,0,636863.9999886,912154.650960858,1088198.79502,1725062.7950086,1549018.65094946
"1968",341568.005026002,514650.024700905,-2914.00510000001,158672.889367925,0,338653.999926002,514650.024700905,673322.91406883,1011976.91399483,853304.024626907
"1969",1105948.409512,716406.042149911,-90394.4099999999,284755.458812516,0,1015553.999512,716406.042149911,1001161.50096243,2016715.50047443,1731960.04166191
"1970",925592.11577905,781999.987946852,-5858.11569999997,243634.924818947,0,919734.00007905,781999.987946852,1025634.9127658,1945368.91284485,1701733.9880259
"1971",642403.244212001,1073997.84517808,-8389.24419999996,288088.455864333,0,634014.000012001,1073997.84517808,1362086.30104241,1996100.30105441,1708011.84519008
"1972",541049.4344966,778733.633273552,5352.56539999996,449399.314129695,0,546401.9998966,778733.633273552,1228132.94740325,1774534.94729985,1325135.63317015
"1973",330628.000172606,211603.49957517,-1786.00020000001,247096.074931902,0,328841.999972606,211603.49957517,458699.574507072,787541.574479678,540445.499547776
"1974",1279997.948562,153126.575475073,-4367.94900000002,75480.6563368399,0,1275629.999562,153126.575475073,228607.231811913,1504237.23137392,1428756.57503708
"1975",1216871.841801,921188.308538725,-43031.8419999999,143642.675845618,0,1173839.999801,921188.308538725,1064830.98438434,2238670.98418535,2095028.30833973
"1976",511078.073300431,1020297.02653213,-1918.07339999999,175438.421282526,0,509159.999900431,1020297.02653213,1195735.44781466,1704895.44771509,1529457.02643256
"1977",702111.7058107,2021101.95794793,-9597.7058,284551.051581648,0,692514.0000107,2021101.95794793,2305653.00952958,2998167.00954028,2713615.95795863
"1978",970406.540927352,1085788.08226996,-74708.541,96806.3912998548,0,895697.999927352,1085788.08226996,1182594.47356981,2078292.47349717,1981486.08219731
"1979",1076651.28773826,1473517.20262534,-44609.2879999999,74293.9678687464,0,1032041.99973826,1473517.20262534,1547811.17049409,2579853.17023235,2505559.2023636
"1980",1060741.99646376,2187780.34917131,118.003999999957,201079.057245719,0,1060860.00046376,2187780.34917131,2388859.40641703,3449719.40688078,3248640.34963506
"1981",699113.6505359,3614483.63373018,-4433.65040000004,332621.529132447,0,694680.0001359,3614483.63373018,3947105.16286262,4641785.16299852,4309163.63386608
"1982",1035259.1993148,2360931.84049815,-631.199000000022,389469.835482198,0,1034628.0003148,2360931.84049815,2750401.67598035,3785029.67629515,3395559.84081295
"1983",793866.311554501,7252743.29249885,-1584.31149999995,401282.167914501,0,792282.000054501,7252743.29249885,7654025.46041335,8446307.46046785,8045025.29255335
"1984",1163257.12369139,4080394.90467263,2087.87599999993,212685.254663451,0,1165344.99969139,4080394.90467263,4293080.15933608,5458425.15902747,5245739.90436402
"1985",1099230.2429389,6811701.75607752,-4038.24300000002,423881.671216212,890.7278279,1095191.9999389,6812592.48390542,7236474.15512163,8331666.15506053,7907784.48384432
"1986",1139908.3434822,4183224.74425744,12271.656,170883.591523795,211.7965548,1152179.9994822,4183436.54081224,4354320.13233604,5506500.13181824,5335616.54029444
