"","Escapement","District Catches","EscapementObsError","OffshoreCatch","Extra Catches","Total Esc","Total Catch no Offshore","Total Catch","Run Size","Run Size no Offshore"
"1963",338656.088935002,187789.182998655,103.911000000022,92703.3893960112,0,338759.999935002,187789.182998655,280492.572394666,619252.572329667,526549.182933656
"1964",957214.665424503,1117980.75526264,-94.6654000000563,110007.165315702,0,957120.000024503,1117980.75526264,1227987.92057834,2185107.92060284,2075100.75528714
"1965",24322176.027801,18132718.2510093,3749.96999999881,6203629.81428393,0,24325925.997801,18132718.2510093,24336348.0652932,48662274.0630942,42458644.2488103
"1966",3868468.81287901,4030044.86309006,-113283.813,1148757.75541456,0,3755184.99987901,4030044.86309006,5178802.61850462,8933987.61838363,7785229.86296907
"1967",3328766.3082454,1753187.58167658,-112558.308,583946.728557385,0,3216208.0002454,1753187.58167658,2337134.31023397,5553342.31047937,4969395.58192198
"1968",2391127.85021601,822904.930986503,166312.15,603858.826805941,0,2557440.00021601,822904.930986503,1426763.75779244,3984203.75800845,3380344.93120251
"1969",7761603.98402002,3846671.77308057,632600.015,1837622.69649549,0,8394203.99902002,3846671.77308057,5684294.46957606,14078498.4685961,12240875.7721006
"1970",14156706.89907,16526566.7926742,-221400.9,4416260.23241414,0,13935305.99907,16526566.7926742,20942827.0250883,34878133.0241583,30461872.7917442
"1971",2429123.1317116,3581812.406981,-41731.1310000001,1034454.87898377,0,2387392.0007116,3581812.406981,4616267.28596478,7003659.28667638,5969204.4076926
"1972",1014490.25861541,579541.01260926,-4528.25899999996,555818.408312608,0,1009961.99961541,579541.01260926,1135359.42092187,2145321.42053728,1589503.01222467
"1973",224059.943297913,56212.0650135949,2494.05669999999,137474.011783855,0,226553.999997913,56212.0650135949,193686.07679745,420240.076795362,282766.065011507
"1974",4346083.985751,378663.283408512,87760.0140000004,253385.889483587,0,4433843.99975101,378663.283408512,632049.172892099,5065893.1726431,4812507.28315952
"1975",12601902.312636,2091991.35923628,538547.689999999,1001808.47342692,0,13140450.002636,2091991.35923628,3093799.8326632,16234249.8352992,15232441.3618723
"1976",1766934.28830002,1236023.58396202,198347.712,358181.06163123,0,1965282.00030002,1236023.58396202,1594204.64559325,3559486.64589327,3201305.58426204
"1977",1335518.464858,176351.587289713,5625.53499999992,163660.878381003,0,1341143.999858,176351.587289713,340012.465670716,1681156.46552872,1517495.58714772
"1978",3913397.70888601,3424342.72642438,235890.291,357948.122101879,0,4149287.99988601,3424342.72642438,3782290.84852626,7931578.84841227,7573630.72631039
"1979",11166150.137499,13004447.3063177,52283.8599999994,714233.800353077,0,11218433.997499,13004447.3063177,13718681.1066707,24937115.1041698,24222881.3038167
"1980",22411040.6598931,13220847.2889959,94227.3399999999,2243132.00731556,0,22505267.9998931,13220847.2889959,15463979.2963114,37969247.2962045,35726115.288889
"1981",1749149.3411203,4653302.37240607,5208.65899999999,505919.312902842,0,1754358.0001203,4653302.37240607,5159221.68530891,6913579.68542921,6407660.37252637
