"","Escapement","District Catches","EscapementObsError","OffshoreCatch","Extra Catches","Total Esc","Total Catch no Offshore","Total Catch","Run Size","Run Size no Offshore"
"1963",881830.087984049,635296.930729695,23527.912,267155.627143545,0,905357.999984049,635296.930729695,902452.55787324,1807810.55785729,1540654.93071374
"1964",1349677.55791801,498848.840367938,-73.5579999999609,97991.3250872241,0,1349603.99991801,498848.840367938,596840.165455162,1946444.16537317,1848452.84028595
"1965",717804.446606311,349230.131756912,-6.44649999996182,155918.125215534,0,717798.000106311,349230.131756912,505148.256972446,1222946.25707876,1067028.13186322
"1966",995488.157327003,1509823.24589392,20956.8426,364371.832715385,0,1016444.999927,1509823.24589392,1874195.0786093,2890640.07853631,2526268.24582092
"1967",734839.640824103,643212.141145272,20800.3591999999,158346.34617872,0,755640.000024103,643212.141145272,801558.487323993,1557198.4873481,1398852.14116938
"1968",1065525.200131,507374.179015605,-42303.2,295519.441908727,0,1023222.000131,507374.179015605,802893.620924332,1826115.62105534,1530596.17914661
"1969",1334705.954075,952506.577405433,-3503.95399999991,362072.175768046,0,1331202.000075,952506.577405433,1314578.75317348,2645780.75324848,2283708.57748044
"1970",727279.918241001,1621849.27851907,5222.08180000004,338111.440043882,0,732502.000041001,1621849.27851907,1959960.71856296,2692462.71860396,2354351.27856007
"1971",922586.072283008,2198433.62999176,13167.9277999999,537113.4056525,0,935754.000083008,2198433.62999176,2735547.03564426,3671301.03572727,3134187.63007477
"1972",590733.999796837,507803.386649255,-4215.99979999999,383045.999527561,0,586517.999996837,507803.386649255,890849.386176816,1477367.38617365,1094321.38664609
"1973",358760.056454813,112725.584341133,-2084.0564,231264.70216835,0,356676.000054813,112725.584341133,343990.286509483,700666.286564297,469401.584395947
"1974",1259198.4019087,158896.414392057,-18140.402,76051.7326974032,0,1241057.9999087,158896.414392057,234948.14708946,1476006.14699816,1399954.41430076
"1975",2022267.161945,982586.723020645,4418.83799999999,204866.60326433,0,2026685.999945,982586.723020645,1187453.32628497,3214139.32622998,3009272.72296565
"1976",1451652.117085,1537414.61735667,-130902.117,356524.18109942,0,1320750.000085,1537414.61735667,1893938.79845609,3214688.7985411,2858164.61744168
"1977",1082677.5389737,1551696.32140543,3178.46099999989,285172.61749876,0,1085855.9999737,1551696.32140543,1836868.93890419,2922724.93887789,2637552.32137913
"1978",796413.807791801,1342720.57408723,16964.1922,104350.806853757,0,813377.999991801,1342720.57408723,1447071.38094098,2260449.38093279,2156098.57407903
"1979",917359.720509105,1821453.87418447,8002.27949999995,80931.1084328589,0,925362.000009105,1821453.87418447,1902384.98261733,2827746.98262643,2746815.87419357
"1980",2644158.9785594,2139264.94816919,539.021000000183,301130.586443214,0,2644697.9995594,2139264.94816919,2440395.5346124,5085093.5341718,4783962.94772859
"1981",1794924.1995829,6333804.85922758,1295.80000000005,642329.095851342,0,1796219.9995829,6333804.85922758,6976133.95507893,8772353.95466183,8130024.85881048
"1982",1155163.787246,3025788.74073099,388.212999999989,497867.195912182,0,1155552.000246,3025788.74073099,3523655.93664317,4679207.93688917,4181340.74097699
"1983",888284.758773402,2262825.27357032,9.24120000004768,159658.185962797,0,888293.999973402,2262825.27357032,2422483.45953312,3310777.45950652,3151119.27354373
"1984",1223426.8083003,2483523.43457191,19047.192,151485.170950925,0,1242474.0003003,2483523.43457191,2635008.60552283,3877482.60582313,3725997.43487221
"1985",1849917.90312201,2157248.00524604,20.0970000000671,216299.087336644,15412.73219,1849938.00012201,2172660.73743604,2388959.82477268,4238897.82489469,4022598.73755804
"1986",2015870.51144801,1884786.65145225,-38225.5120000001,127139.780476532,3664.827206,1977644.99944801,1888451.47865825,2015591.25913479,3993236.25858279,3866096.47810626
