"","Escapement","District Catches","EscapementObsError","OffshoreCatch","Extra Catches","Total Esc","Total Catch no Offshore","Total Catch","Run Size","Run Size no Offshore"
"1963",392850.692429801,192646.377488265,-4596.6924,103102.00462676,0,388254.000029801,192646.377488265,295748.382115025,684002.382144826,580900.377518066
"1964",471905.24884135,769298.72322173,864.751199999999,65796.854203673,0,472770.00004135,769298.72322173,835095.577425403,1307865.57746675,1242068.72326308
"1965",978312.051383204,1524051.07878566,18299.9486,365652.412563521,0,996611.999983204,1524051.07878566,1889703.49134918,2886315.49133238,2520663.07876886
"1966",694919.728557901,498518.38320574,9516.27150000003,173573.325673288,0,704436.000057901,498518.38320574,672091.708879028,1376527.70893693,1202954.38326364
"1967",239255.030943322,156414.616980262,-425.030900000012,45464.7959157611,0,238830.000043322,156414.616980262,201879.412896023,440709.412939345,395244.617023584
"1968",71985.605107831,54938.9696578724,-1089.6051,23846.8397897634,0,70896.000007831,54938.9696578724,78785.8094476358,149681.809455467,125834.969665703
"1969",160722.439315652,100669.938720092,-342.439299999998,41379.148523304,0,160380.000015652,100669.938720092,142049.087243396,302429.087259049,261049.938735745
"1970",728824.435362206,187212.610964322,6199.56460000004,131845.709175921,0,735023.999962206,187212.610964322,319058.320140243,1054082.32010245,922236.610926528
"1971",520534.753206414,991121.267006647,9217.24680000002,260149.178936348,0,529752.000006414,991121.267006647,1251270.445943,1781022.44594941,1520873.26701306
"1972",81043.1512387018,18443.8620700486,-1615.15117,34689.8547991196,0,79428.0000687018,18443.8620700486,53133.7168691681,132561.71693787,97871.8621387504
"1973",38986.1094814412,4573.29724090127,1.89052000000083,21365.9809598574,0,38988.0000014412,4573.29724090127,25939.2782007587,64927.2782021999,43561.2972423425
"1974",61853.4926659026,1557.79210787695,0.507330000000366,3400.71624541165,0,61853.9999959026,1557.79210787695,4958.5083532886,66812.5083491912,63411.7921037796
"1975",429204.957897404,63150.4619948584,131.042100000021,33568.0822813732,0,429335.999997404,63150.4619948584,96718.5442762316,526054.544273636,492486.461992263
"1976",356593.423172409,198768.835307873,-285.423200000019,66241.4365480785,0,356307.999972409,198768.835307873,265010.271855951,621318.27182836,555076.835280282
"1977",202047.38694257,187475.784953476,-527.386900000012,42166.1269023618,0,201520.00004257,187475.784953476,229641.911855838,431161.911898409,388995.784996047
"1978",86137.9528189034,10146.8896080759,-3702.95282000001,4696.94708297538,0,82434.9999989034,10146.8896080759,14843.8366910513,97278.8366899547,92581.8896069793
"1979",1646743.0348586,516797.27807699,60160.9650000001,63931.9579747155,0,1706903.9998586,516797.27807699,580729.236051706,2287633.23591031,2223701.27793559
"1980",3357809.64377751,1035358.20271095,-22525.6430000002,276562.819884216,0,3335284.00077751,1035358.20271095,1311921.02259516,4647205.02337268,4370642.20348846
"1981",1323775.5080539,2458859.45745208,3923.49200000009,298902.384302803,0,1327699.0000539,2458859.45745208,2757761.84175488,4085460.84180879,3786558.45750598
"1982",1186377.4911612,1221021.95193498,-826.490999999922,286672.762293445,0,1185551.0001612,1221021.95193498,1507694.71422842,2693245.71438962,2406572.95209618
"1983",999964.669071903,2950095.99773472,1399.33089999994,200138.844451837,0,1001363.9999719,2950095.99773472,3150234.84218656,4151598.84215846,3951459.99770663
"1984",1269959.27207782,2734260.48556445,358.727999999886,163633.141745221,0,1270318.00007782,2734260.48556445,2897893.62730967,4168211.62738749,4004578.48564227
"1985",1003218.8597089,6530640.93779769,3188.14000000001,406663.221672741,72.78267272,1006406.9997089,6530713.72047041,6937376.94214315,7943783.94185205,7537120.72017931
"1986",1021341.70855009,5502253.48048607,-5759.70900000003,212633.006559802,17.30620606,1015581.99955009,5502270.78669213,5714903.79325193,6730485.79280203,6517852.78624222
"1987",685630.20784787,2123375.89471711,1263.79209999996,101445.270302057,259.8354747,686893.99994787,2123635.73019181,2225081.00049386,2911975.00044173,2810529.73013968
"1988",654943.795529601,1432616.04586325,-531.795500000007,70783.7192415386,221.5526788,654412.000029601,1432837.59854205,1503621.31778358,2158033.31781319,2087249.59857165
"1989",1711158.33503151,3440766.13691801,2128.66500000004,209265.656761743,763.3783767,1713287.00003151,3441529.51529471,3650795.17205646,5364082.17208796,5154816.51532622
"1990",749182.376331663,1886476.68573446,295.623699999996,76272.0813157591,895.4888221,749478.000031663,1887372.17455656,1963644.25587232,2713122.25590398,2636850.17458823
"1991",2479991.93959949,3261697.57957227,2024.06000000006,219003.074290734,429.9993171,2482015.99959949,3262127.57888937,3481130.6531801,5963146.65277959,5744143.57848886
"1992",2193096.611071,3817704.29706466,1830.38899999997,334401.346617486,224.0907838,2194927.000071,3817928.38784846,4152329.73446594,6347256.73453694,6012855.38791946
"1993",1413668.01774271,4464848.44029203,-214.017999999924,342221.413486293,492.9325494,1413453.99974271,4465341.37284143,4807562.78632773,6221016.78607043,5878795.37258414
"1994",1067690.5869479,4314971.14473198,27377.4129999999,160392.63024285,1080.86225,1095067.9999479,4316052.00698198,4476444.63722483,5571512.63717274,5411120.00692988
"1995",1315099.56403994,4387634.03104147,6008.43599999999,205557.517868076,1136.871096,1321108.00003994,4388770.90213747,4594328.42000555,5915436.42004549,5709878.90217742
"1996",685396.782555042,4531044.24409132,6770.21739999996,149427.371646839,215.6082151,692166.999955042,4531259.85230642,4680687.22395326,5372854.2239083,5223426.85226147
"1997",651907.128483711,1655478.97702599,4733.87159999995,198955.456508474,88.9287104,656641.000083711,1655567.90573639,1854523.36224487,2511164.36232858,2312208.9058201
"1998",920095.773506002,841697.377622056,4757.22649999999,127394.421986583,189.723727672,924853.000006002,841887.101349728,969281.523336312,1894134.52334231,1766740.10135573
