"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"Brood Year","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4","Escapement","Recruits","R/S"
"1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA
"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"225.061159629828",NA,NA,"9.59434669108084e-08","0",NA,NA,NA
"1957",NA,NA,NA,NA,"0",NA,NA,NA,"452.496788743662","0",NA,NA,"563156.164569179","0",NA,"812.880286117971","1.24516515900743e-05","0",NA,NA,NA
"1958",NA,NA,NA,"0","0",NA,NA,"140335.027330756","98.0636549269063","0",NA,"597027.884070663","101204.339608585","0","0","1666.42981618631","2792.63217436672","0",NA,NA,NA
"1959",NA,NA,"0","0","0",NA,"486708.046209008","230912.963980456","6.47270137282038e-09","0","7813.44791142701","532279.882946014","266999.301422026","1.84403536000628e-09","0","6.4726970413314e-09","1.83998662892498e-09","0",NA,NA,NA
"1960",NA,"0","112.720952415049","0","0","0","1072773.45843184","286245.422621693","2.76605304057993e-09","0","4347.3174757782","549352.743846639","1443356.30120338","1605.40879195184","0","2521.76281478553","3.23646369668986e-09","0",NA,NA,NA
"1961","0","3.18734452353565e-08","6.47270260871495e-09","0","0","0","112176.052645247","971787.012726111","7771.39486852783","0","4331.49371526996","330857.292990636","721523.185406405","1.97228095535047e-09","0","1.62343831601893e-09","3444.17991228032","0",NA,NA,NA
"1962","0","0","1.83998662892498e-09","0","0","169.718122243648","130455.479242418","262140.778054985","1575.4188526139","0","5808.64568426164","396108.297750545","303500.941721074","0","0","6576.20130525458","2.15392560103764e-09","0",NA,NA,NA
"1963","0","0","2.69705308113502e-09","0","0","0","141943.787554161","416187.280068774","2.15166492247917e-09","0","23215.3092907737","700969.83052858","418189.565153859","0","0","6330.33119646084","4.55606369061703e-09","0","905358","1706836.10379262","1.8852609727783"
"1964","0","0","2.37857476511969e-09","0","0","742.751936718152","342531.147158467","256174.066292445","0","0","34421.0693936044","1275540.20852643","309691.934137989","0","0","4429.64180424567","6.65768936334813e-09","0","1349604","2223530.8192499","1.6475431454337"
"1965","0","0","0","0","0","12877.185306211","634432.36261284","600345.068800867","2.82048995561179e-08","0","37063.7623083752","854534.674284902","515515.396865871","2.57531681066065e-09","0","5.8292599889432e-09","4.18050619408652e-09","0","717798","2654768.45017911","3.69848961710552"
"1966","0","2.1534137131593e-09","4.55606369061703e-09","4.1477793460757e-09","0","13371.0235626791","918492.715897883","2573069.50255624","2999.7536618386","0","2025.05901456717","209617.749430165","485528.038906324","518.560446141296","0","2.24970550534153e-09","3.77955694484617e-09","0","1016445","4205622.40347585","4.13757990198767"
"1967","0","0","7.48990053332871e-09","1.41642424592975e-07","0","0","352459.442310703","522756.824735918","3.44277418044578e-09","0","3786.90944592145","330689.348398898","342019.372081767","456.551925964347","0","2.89038388947053e-09","0","0","755640","1552168.44889933","2.05411101701779"
