"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"Brood Year","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4","Escapement","Recruits","R/S"
"1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA
"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"9.09398399649635e-10","0",NA,NA,NA
"1957",NA,NA,NA,NA,"0",NA,NA,NA,"1003.3964889225","0",NA,NA,"41104.6153343507","0",NA,"9.09745479091849e-10","3.68965840874448e-05","0",NA,NA,NA
"1958",NA,NA,NA,"0","0",NA,NA,"166612.177903794","0","0",NA,"442821.812711474","53104.1562090919","0","0","3.97051680476236e-08","6.49959881642485e-09","0",NA,NA,NA
"1959",NA,NA,"0","0","0",NA,"27869.5946951681","60871.9115423509","649.530577946213","0","3718.19275335092","249131.308161816","152379.746443632","1.84547210847873e-09","0","6.52326371002716e-09","3093.25479172671","0",NA,NA,NA
"1960",NA,"0","0","0","0","872.592254125178","938754.942684981","391592.067943337","963.786840945436","0","5935.46882578286","1999303.98010982","532859.356305439","0","0","1454.79381855739","1.06628162205336e-09","0",NA,NA,NA
"1961","0","2.7382874517412e-09","10778.2014096028","0","0","67.7899311880215","330107.725053308","485212.135809608","1167.44407735092","0","1263.33606704803","273844.190982357","119956.752671359","266.923263331911","0","1.06607867929805e-09","42.8171277473295","0",NA,NA,NA
"1962","0","0","700.49617651486","0","0","240.903646546015","77644.0753453834","150137.956771455","79.4914217722074","0","755.618915475825","158365.641411272","20277.0832598701","0","0","8.05910288029917e-10","2.1581516654322e-09","0",NA,NA,NA
"1963","0","0","1.06628162205336e-09","0","0","0","10898.7960547845","21654.7506711868","2129.55898111708","0","48.9701535384242","77665.7349638905","20614.6887354412","0","0","2.15772583447078e-09","4.57896677114264e-09","0","388254","133012.499559966","0.342591446733238"
"1964","0","0","102.454922896734","0","0","133.851737404875","18979.1176029749","8240.81364940109","0","0","10613.4362215687","220552.915770315","16302.9691092646","0","0","4.58390899031653e-09","295.227014333875","0","472770","275220.786028165","0.582145199628074"
"1965","0","0","0","0","0","8.01667686525197e-10","47596.2518135405","51242.9995873817","551.037966488318","0","2820.20247780932","212871.36885192","76734.4438516617","6.42363749761002e-10","0","1800.32711177336","6.41238370609952e-10","0","996612","393616.631660577","0.394954738313985"
"1966","0","373.901838047715","407.206548045894","117.500206952696","0","100.754037055325","773257.776025785","1560599.92636438","229.782650615559","0","0","42403.2072837322","17433.3627667586","0","0","6.40706343978414e-10","5.70855400170026e-10","0","704436","2394923.41772138","3.39977431267195"
"1967","0","0","1.67319642759556e-09","6.42363749761002e-10","0","0","98520.7757991206","55182.1913903865","4.56685864153483e-10","0","1.68398330081181e-09","42514.9946742384","35766.5598441894","114.470186618767","0","42.7844364695404","0","0","238830","232141.776331028","0.971995881300622"
