"","dist","Age","stock","Prop","mean","Catch","ps","CatchP","c.RR","c.magma"
"1",321,"0.1","Alagnak",0,NA,2772643,0.0001999428593,0,0,NA
"9",321,"0.2","Alagnak",0,NA,2772643,0.0001999428593,0,0,NA
"21",321,"0.3","Alagnak",0,2.21945134509834e-308,2772643,0.0001999428593,0,0,1.23039761779796e-305
"22",321,"0.4","Alagnak",0,NA,2772643,0.0001999428593,0,0,NA
"28",321,"0.5","Alagnak",0,NA,2772643,0.0001999428593,0,0,NA
"35",321,"1.1","Alagnak",1.08392121800997e-05,0.00497031994200265,2772643,0.0001999428593,0.00184218354078001,0.00600893589068987,2.75539710741566
"46",321,"1.2","Alagnak",0.476956006593088,0.377175944620955,2772643,0.0001999428593,0.00114877360273849,264.410182094153,209.09509225207
"57",321,"1.3","Alagnak",0.512015606522973,0.533120877680217,2772643,0.0001999428593,4.70170807557379e-06,283.846178440704,295.546311183962
"68",321,"1.4","Alagnak",0.00601613710625465,0.00883348656359253,2772643,0.0001999428593,5.40638509436315e-07,3.33516694575419,4.89702144122154
"84",321,"1.5","Alagnak",1.45890436937347e-05,0.00435610200443458,2772643,0.0001999428593,0,0.00808773062151816,2.41489300541696
"91",321,"2.1","Alagnak",1.11385495928715e-07,0.00349164779086856,2772643,0.0001999428593,4.89563664704525e-05,6.17487962286746e-05,1.93566537674374
"104",321,"2.2","Alagnak",8.08417501195992e-07,0.0141197375431342,2772643,0.0001999428593,5.73541925592659e-05,0.000448162546953088,7.82756129138529
"116",321,"2.3","Alagnak",0.00498211458729912,0.0449078557030142,2772643,0.0001999428593,3.07979254726485e-06,2.76193570692477,24.8955755662015
"127",321,"2.4","Alagnak",3.72112896831765e-06,0.00437183890075292,2772643,0.0001999428593,0,0.00206288289592316,2.42361707129224
"134",321,"3.1","Alagnak",0,NA,2772643,0.0001999428593,0,0,NA
"145",321,"3.2","Alagnak",0,2.21945134509834e-308,2772643,0.0001999428593,0,0,1.23039761779796e-305
"156",321,"3.3","Alagnak",6.60025462055609e-08,0.00465218925102861,2772643,0.0001999428593,0,3.65898427101243e-05,2.57903494242054
"162",321,"3.4","Alagnak",0,NA,2772643,0.0001999428593,0.99689441015832,0,NA
"5",321,"0.1","Egegik",0,NA,2772643,0.03341337021,0,0,NA
"7",321,"0.2","Egegik",0,NA,2772643,0.03341337021,0,0,NA
"18",321,"0.3","Egegik",0,2.22396117935746e-308,2772643,0.03341337021,0,0,2.06035207296365e-303
