year,district,districtID,stream,subdistrict,fage,oage,prop
2005,NaknekKvichak,324,,ARSHA,0,3,0.001112332
2005,NaknekKvichak,324,,ARSHA,1,2,0.093652019
2005,NaknekKvichak,324,,ARSHA,0,4,0.001095097
2005,NaknekKvichak,324,,ARSHA,1,3,0.723251983
2005,NaknekKvichak,324,,ARSHA,2,2,0.081381895
2005,NaknekKvichak,324,,ARSHA,2,3,0.099506674
2006,NaknekKvichak,324,,ARSHA,1,2,0.424836601
2006,NaknekKvichak,324,,ARSHA,1,3,0.346405229
2006,NaknekKvichak,324,,ARSHA,1,4,0.013071895
2006,NaknekKvichak,324,,ARSHA,2,2,0.091503268
2006,NaknekKvichak,324,,ARSHA,2,3,0.124183007
1972,Nushagak,325,100,Igushik Set,0,3,0.0052
1972,Nushagak,325,100,Igushik Set,1,2,0.4089
1972,Nushagak,325,100,Igushik Set,1,3,0.4418
1972,Nushagak,325,100,Igushik Set,2,2,0.0837
1972,Nushagak,325,100,Igushik Set,1,4,0.0038
1972,Nushagak,325,100,Igushik Set,2,3,0.0566
1973,Nushagak,325,100,Igushik Set,0,3,0.0051
1973,Nushagak,325,100,Igushik Set,1,2,0.0104
1973,Nushagak,325,100,Igushik Set,0,4,0.0018
1973,Nushagak,325,100,Igushik Set,1,3,0.829
1973,Nushagak,325,100,Igushik Set,1,4,0.0034
1973,Nushagak,325,100,Igushik Set,2,3,0.1468
1973,Nushagak,325,100,Igushik Set,3,3,0.0035
1974,Nushagak,325,100,Igushik Set,1,2,0.0648
1974,Nushagak,325,100,Igushik Set,1,3,0.0926
1974,Nushagak,325,100,Igushik Set,2,2,0.8333
1974,Nushagak,325,100,Igushik Set,2,3,0.0093
1975,Nushagak,325,100,Igushik Set,0,2,0.0012
1975,Nushagak,325,100,Igushik Set,0,3,0.0072
1975,Nushagak,325,100,Igushik Set,1,2,0.0911
1975,Nushagak,325,100,Igushik Set,1,3,0.3178
1975,Nushagak,325,100,Igushik Set,2,2,0.3261
1975,Nushagak,325,100,Igushik Set,1,4,0.0012
1975,Nushagak,325,100,Igushik Set,2,3,0.2554
1976,Nushagak,325,100,Igushik Set,0,3,0.001
1976,Nushagak,325,100,Igushik Set,1,2,0.2573
1976,Nushagak,325,100,Igushik Set,1,3,0.5256
1976,Nushagak,325,100,Igushik Set,2,2,0.1075
1976,Nushagak,325,100,Igushik Set,2,3,0.1086
1977,Nushagak,325,100,Igushik Set,0,2,0.0008
1977,Nushagak,325,100,Igushik Set,0,3,0.0208
1977,Nushagak,325,100,Igushik Set,1,2,0.0587
1977,Nushagak,325,100,Igushik Set,0,4,0.001
1977,Nushagak,325,100,Igushik Set,1,3,0.718
1977,Nushagak,325,100,Igushik Set,2,2,0.0237
1977,Nushagak,325,100,Igushik Set,1,4,0.0032
1977,Nushagak,325,100,Igushik Set,2,3,0.1736
1977,Nushagak,325,100,Igushik Set,2,4,0.0002
1978,Nushagak,325,100,Igushik Set,0,2,0.001155665
1978,Nushagak,325,100,Igushik Set,0,3,0.002311331
1978,Nushagak,325,100,Igushik Set,1,2,0.460205691
1978,Nushagak,325,100,Igushik Set,0,4,0.001155665
1978,Nushagak,325,100,Igushik Set,1,3,0.476349172
1978,Nushagak,325,100,Igushik Set,2,2,0.029984591
1978,Nushagak,325,100,Igushik Set,1,4,0.004613703
1978,Nushagak,325,100,Igushik Set,2,3,0.024224181
1979,Nushagak,325,100,Igushik Set,1,2,0.414059457
1979,Nushagak,325,100,Igushik Set,1,3,0.36528517
1979,Nushagak,325,100,Igushik Set,2,2,0.210237353
1979,Nushagak,325,100,Igushik Set,2,3,0.010418019
1980,Nushagak,325,100,Igushik Set,1,1,0.005
1980,Nushagak,325,100,Igushik Set,1,2,0.2701
1980,Nushagak,325,100,Igushik Set,2,1,0.0017
1980,Nushagak,325,100,Igushik Set,1,3,0.5067
1980,Nushagak,325,100,Igushik Set,2,2,0.1678
1980,Nushagak,325,100,Igushik Set,2,3,0.0487
1981,Nushagak,325,100,Igushik Set,1,2,0.152
1981,Nushagak,325,100,Igushik Set,1,3,0.5834
1981,Nushagak,325,100,Igushik Set,2,2,0.1231
1981,Nushagak,325,100,Igushik Set,2,3,0.1414
1982,Nushagak,325,100,Igushik Set,1,2,0.074
1982,Nushagak,325,100,Igushik Set,1,3,0.7352
1982,Nushagak,325,100,Igushik Set,2,2,0.0115
1982,Nushagak,325,100,Igushik Set,1,4,0.0148
1982,Nushagak,325,100,Igushik Set,2,3,0.1645
1983,Nushagak,325,100,Igushik Set,0,3,0.0011
1983,Nushagak,325,100,Igushik Set,1,2,0.4984
1983,Nushagak,325,100,Igushik Set,1,3,0.3599
1983,Nushagak,325,100,Igushik Set,2,2,0.1196
1983,Nushagak,325,100,Igushik Set,1,4,0.0063
1983,Nushagak,325,100,Igushik Set,2,3,0.0136
1983,Nushagak,325,100,Igushik Set,2,4,0.0011
1984,Nushagak,325,100,Igushik Set,1,2,0.134
1984,Nushagak,325,100,Igushik Set,1,3,0.792
1984,Nushagak,325,100,Igushik Set,1,4,0.002
1984,Nushagak,325,100,Igushik Set,2,3,0.072
1985,Nushagak,325,100,Igushik Set,1,2,0.4452
1985,Nushagak,325,100,Igushik Set,1,3,0.444
1985,Nushagak,325,100,Igushik Set,2,2,0.0967
1985,Nushagak,325,100,Igushik Set,2,3,0.0142
1986,Nushagak,325,100,Igushik Set,0,2,0.0073
1986,Nushagak,325,100,Igushik Set,0,3,0.0415
1986,Nushagak,325,100,Igushik Set,1,2,0.0878
1986,Nushagak,325,100,Igushik Set,1,3,0.7439
1986,Nushagak,325,100,Igushik Set,2,2,0.0366
1986,Nushagak,325,100,Igushik Set,2,3,0.0829
1987,Nushagak,325,100,Igushik Set,1,2,0.2033
1987,Nushagak,325,100,Igushik Set,1,3,0.7137
1987,Nushagak,325,100,Igushik Set,2,2,0.0195
1987,Nushagak,325,100,Igushik Set,1,4,0.001
1987,Nushagak,325,100,Igushik Set,2,3,0.0625
1988,Nushagak,325,100,Igushik Set,0,3,0.0043
1988,Nushagak,325,100,Igushik Set,1,2,0.155
1988,Nushagak,325,100,Igushik Set,0,4,0.0005
1988,Nushagak,325,100,Igushik Set,1,3,0.7908
1988,Nushagak,325,100,Igushik Set,2,2,0.006
1988,Nushagak,325,100,Igushik Set,1,4,0.0075
1988,Nushagak,325,100,Igushik Set,2,3,0.0359
1989,Nushagak,325,100,Igushik Set,0,2,0.011
1989,Nushagak,325,100,Igushik Set,0,3,0.0218
1989,Nushagak,325,100,Igushik Set,1,2,0.4094
1989,Nushagak,325,100,Igushik Set,1,3,0.3667
1989,Nushagak,325,100,Igushik Set,2,2,0.1103
1989,Nushagak,325,100,Igushik Set,1,4,0.0029
1989,Nushagak,325,100,Igushik Set,2,3,0.0779
1990,Nushagak,325,100,Igushik Set,0,2,0.0051
1990,Nushagak,325,100,Igushik Set,0,3,0.0141
1990,Nushagak,325,100,Igushik Set,1,2,0.169
1990,Nushagak,325,100,Igushik Set,1,3,0.6902
1990,Nushagak,325,100,Igushik Set,2,2,0.1007
1990,Nushagak,325,100,Igushik Set,2,3,0.0209
1991,Nushagak,325,100,Igushik Set,0,3,0.0179
1991,Nushagak,325,100,Igushik Set,1,2,0.0324
1991,Nushagak,325,100,Igushik Set,0,4,0.0033
1991,Nushagak,325,100,Igushik Set,1,3,0.8935
1991,Nushagak,325,100,Igushik Set,2,2,0.0082
1991,Nushagak,325,100,Igushik Set,1,4,0.0026
1991,Nushagak,325,100,Igushik Set,2,3,0.0395
1991,Nushagak,325,100,Igushik Set,2,4,0.0026
1992,Nushagak,325,100,Igushik Set,1,4,0.11
1992,Nushagak,325,100,Igushik Set,0,3,0.01
1992,Nushagak,325,100,Igushik Set,1,2,0.3511
1992,Nushagak,325,100,Igushik Set,1,3,0.585
1992,Nushagak,325,100,Igushik Set,2,2,0.0092
1992,Nushagak,325,100,Igushik Set,1,4,0.0214
1992,Nushagak,325,100,Igushik Set,2,3,0.0222
1992,Nushagak,325,100,Igushik Set,2,4,0.0011
1993,Nushagak,325,100,Igushik Set,0,2,0.0019
1993,Nushagak,325,100,Igushik Set,0,3,0.0226
1993,Nushagak,325,100,Igushik Set,1,2,0.2425
1993,Nushagak,325,100,Igushik Set,0,4,0.0038
1993,Nushagak,325,100,Igushik Set,1,3,0.6447
1993,Nushagak,325,100,Igushik Set,2,2,0.0376
1993,Nushagak,325,100,Igushik Set,1,4,0.0056
1993,Nushagak,325,100,Igushik Set,2,3,0.0414
1994,Nushagak,325,100,Igushik Set,0,3,0.0114
1994,Nushagak,325,100,Igushik Set,1,2,0.0966
1994,Nushagak,325,100,Igushik Set,1,3,0.7954
1994,Nushagak,325,100,Igushik Set,2,2,0.0436
1994,Nushagak,325,100,Igushik Set,1,4,0.0057
1994,Nushagak,325,100,Igushik Set,2,3,0.0474
1995,Nushagak,325,100,Igushik Set,0,3,0.0018
1995,Nushagak,325,100,Igushik Set,1,2,0.081
1995,Nushagak,325,100,Igushik Set,1,3,0.8195
1995,Nushagak,325,100,Igushik Set,2,2,0.0663
1995,Nushagak,325,100,Igushik Set,1,4,0.0037
1995,Nushagak,325,100,Igushik Set,2,3,0.0276
1996,Nushagak,325,100,Igushik Set,0,3,0.0113
1996,Nushagak,325,100,Igushik Set,1,2,0.0282
1996,Nushagak,325,100,Igushik Set,1,3,0.791
1996,Nushagak,325,100,Igushik Set,2,2,0.0057
1996,Nushagak,325,100,Igushik Set,1,4,0.0038
1996,Nushagak,325,100,Igushik Set,2,3,0.1601
1998,Nushagak,325,100,Igushik Set,1,2,0.3675
1998,Nushagak,325,100,Igushik Set,1,3,0.5787
1998,Nushagak,325,100,Igushik Set,2,2,0.026
1998,Nushagak,325,100,Igushik Set,1,4,0.0013
1998,Nushagak,325,100,Igushik Set,2,3,0.0265
1999,Nushagak,325,100,Igushik Set,1,2,0.4785
1999,Nushagak,325,100,Igushik Set,1,3,0.4821
1999,Nushagak,325,100,Igushik Set,2,2,0.0345
1999,Nushagak,325,100,Igushik Set,2,3,0.0049
2000,Nushagak,325,100,Igushik Set,1,2,0.0659
2000,Nushagak,325,100,Igushik Set,1,3,0.8527
2000,Nushagak,325,100,Igushik Set,2,2,0.0194
2000,Nushagak,325,100,Igushik Set,1,4,0.0039
2000,Nushagak,325,100,Igushik Set,2,3,0.0581
2001,Nushagak,325,100,Igushik Set,0,3,0.006
2001,Nushagak,325,100,Igushik Set,1,2,0.006
2001,Nushagak,325,100,Igushik Set,1,3,0.9562
2001,Nushagak,325,100,Igushik Set,2,2,0.002
2001,Nushagak,325,100,Igushik Set,1,4,0.0139
2001,Nushagak,325,100,Igushik Set,2,3,0.0159
2002,Nushagak,325,100,Igushik Set,1,2,0.5161
2002,Nushagak,325,100,Igushik Set,1,3,0.3452
2002,Nushagak,325,100,Igushik Set,2,2,0.0903
2002,Nushagak,325,100,Igushik Set,1,4,0.0162
2002,Nushagak,325,100,Igushik Set,2,3,0.0323
2003,Nushagak,325,100,Igushik Set,1,2,0.0749
2003,Nushagak,325,100,Igushik Set,2,1,0.0005
2003,Nushagak,325,100,Igushik Set,1,3,0.7763
2003,Nushagak,325,100,Igushik Set,2,2,0.0109
2003,Nushagak,325,100,Igushik Set,1,4,0.0056
2003,Nushagak,325,100,Igushik Set,2,3,0.1318
2004,Nushagak,325,100,Igushik Set,1,2,0.153733529
2004,Nushagak,325,100,Igushik Set,1,3,0.726207906
2004,Nushagak,325,100,Igushik Set,2,2,0.096632504
2004,Nushagak,325,100,Igushik Set,1,4,0.004392387
2004,Nushagak,325,100,Igushik Set,2,3,0.019033675
2005,Nushagak,325,100,Igushik Set,1,2,0.065335753
2005,Nushagak,325,100,Igushik Set,1,3,0.744101633
2005,Nushagak,325,100,Igushik Set,2,2,0.016333938
2005,Nushagak,325,100,Igushik Set,2,3,0.174228675
2006,Nushagak,325,100,Igushik Set,1,2,0.236238532
2006,Nushagak,325,100,Igushik Set,1,3,0.637614679
2006,Nushagak,325,100,Igushik Set,1,4,0.016055046
2006,Nushagak,325,100,Igushik Set,2,2,0.018348624
2006,Nushagak,325,100,Igushik Set,2,3,0.091743119
2010,Nushagak,325,100,Igushik Set,1,2,0.152
2010,Nushagak,325,100,Igushik Set,1,3,0.808
2010,Nushagak,325,100,Igushik Set,2,2,0.028
2010,Nushagak,325,100,Igushik Set,1,4,0.002
2010,Nushagak,325,100,Igushik Set,2,3,0.01
2011,Nushagak,325,100,Igushik Set,1,2,0.120359389
2011,Nushagak,325,100,Igushik Set,1,3,0.78490807
2011,Nushagak,325,100,Igushik Set,2,2,0.019217595
2011,Nushagak,325,100,Igushik Set,1,4,0.003416236
2011,Nushagak,325,100,Igushik Set,2,3,0.070959965
2011,Nushagak,325,100,Igushik Set,3,2,0.001138745
2006,NaknekKvichak,324,,Kvi Set,1,2,0.372340426
2006,NaknekKvichak,324,,Kvi Set,1,3,0.335106383
2006,NaknekKvichak,324,,Kvi Set,1,4,0.005319149
2006,NaknekKvichak,324,,Kvi Set,2,2,0.20212766
2006,NaknekKvichak,324,,Kvi Set,2,3,0.085106383
2008,NaknekKvichak,324,,Kvi Set,1,2,0.534722222
2008,NaknekKvichak,324,,Kvi Set,1,3,0.453125
2008,NaknekKvichak,324,,Kvi Set,2,2,0.008680556
2008,NaknekKvichak,324,,Kvi Set,1,4,0.001736111
2008,NaknekKvichak,324,,Kvi Set,2,3,0.001736111
