year,district,districtID,stream,subdistrict,number
1972,Nushagak,325,100,Igushik Set,25587
1973,Nushagak,325,100,Igushik Set,12514
1974,Nushagak,325,100,Igushik Set,21408
1975,Nushagak,325,100,Igushik Set,73552
1976,Nushagak,325,100,Igushik Set,41042
1977,Nushagak,325,100,Igushik Set,57645
1978,Nushagak,325,100,Igushik Set,111624
1979,Nushagak,325,100,Igushik Set,184872
1980,Nushagak,325,100,Igushik Set,146224
1981,Nushagak,325,100,Igushik Set,236022
1982,Nushagak,325,100,Igushik Set,163137
1983,Nushagak,325,100,Igushik Set,171258
1984,Nushagak,325,100,Igushik Set,35213
1985,Nushagak,325,100,Igushik Set,101435
1985,Alagnak,324,500,Kvi Set,16769.19671
1985,Egegik,322,100,Kvi Set,890.7278279
1985,Kvichak,324,100,Kvi Set,50440.2871
1985,Naknek,324,600,Kvi Set,15412.73219
1985,Ugashik,321,100,Kvi Set,72.78267272
1986,Nushagak,325,100,Igushik Set,154013
1986,Alagnak,324,500,Kvi Set,3987.366263
1986,Egegik,322,100,Kvi Set,211.7965548
1986,Kvichak,324,100,Kvi Set,11993.65137
1986,Naknek,324,600,Kvi Set,3664.827206
1986,Ugashik,321,100,Kvi Set,17.30620606
1987,Nushagak,325,100,Igushik Set,132386
1987,Alagnak,324,500,Kvi Set,59866.33942
1987,Egegik,322,100,Kvi Set,3179.91466
1987,Kvichak,324,100,Kvi Set,180072.7488
1987,Naknek,324,600,Kvi Set,55023.73621
1987,Ugashik,321,100,Kvi Set,259.8354747
1988,Nushagak,325,100,Igushik Set,52612
1988,Alagnak,324,500,Kvi Set,51045.94698
1988,Egegik,322,100,Kvi Set,2711.402714
1988,Kvichak,324,100,Kvi Set,153541.7745
1988,Naknek,324,600,Kvi Set,46916.82752
1988,Ugashik,321,100,Kvi Set,221.5526788
1989,Nushagak,325,100,Igushik Set,238887
1989,Alagnak,324,500,Kvi Set,175883.1008
1989,Egegik,322,100,Kvi Set,9342.36595
1989,Kvichak,324,100,Kvi Set,529041.0897
1989,Naknek,324,600,Kvi Set,161655.8727
1989,Ugashik,321,100,Kvi Set,763.3783767
1990,Nushagak,325,100,Igushik Set,309329
1990,Alagnak,324,500,Kvi Set,206321.4726
1990,Egegik,322,100,Kvi Set,10959.15805
1990,Kvichak,324,100,Kvi Set,620597.0679
1990,Naknek,324,600,Kvi Set,189632.0769
1990,Ugashik,321,100,Kvi Set,895.4888221
1991,Nushagak,325,100,Igushik Set,374777
1991,Alagnak,324,500,Kvi Set,99072.24984
1991,Egegik,322,100,Kvi Set,5262.411278
1991,Kvichak,324,100,Kvi Set,298000.7219
1991,Naknek,324,600,Kvi Set,91058.2707
1991,Ugashik,321,100,Kvi Set,429.9993171
1992,Alagnak,324,500,Kvi Set,51630.72879
1992,Egegik,322,100,Kvi Set,2742.464513
1992,Kvichak,324,100,Kvi Set,155300.7474
1992,Naknek,324,600,Kvi Set,47454.30618
1992,Ugashik,321,100,Kvi Set,224.0907838
1993,Nushagak,325,100,Igushik Set,22777
1993,Alagnak,324,500,Kvi Set,113572.1262
