year,inshore
1963,287902.00
1964,338063.00
1965,299439.00
1966,282577.00
1967,140842.00
1968,107507.00
1969,238881.00
1970,344844.00
1971,391349.00
1972,125424.00
1973,171424.00
1974,193924.00
1975,345818.00
1976,451206.00
1977,334738.00
1978,695676.00
1979,564475.00
1980,1053320.00
1981,828368.00
1982,826452.00
1983,721296.00
1984,308661.00
1985,269805.00
1986,359542.00
1987,524289.00
1988,950020.00
1989,152855.00
1990,309989.00
1991,776773.00
1992,809709.00
1993,652984.00
1994,475873.00
1995,712860.00
1996,541557.00
1997,223321.00
1998,266588.00
1999,502647.00
2000,1039354.00
2001,1095102.00
2002,376642.00
2003,882368.00
2004,486209.00
2005,560220.00
2006,886755.00
2007,1028382.00
2008,832472.00
2009,830884.00
2010,723756.00
2011,816932.00
2012,826050.00
2013,595444.00
2014,577857.00
2015,590603.00
2016,845843.00
2017,711818.00
2018,1380470.00
