"","years","total.esc.obs","total.catch.obs","total.obs","total.esc.pred","total.catch.pred","total.pred","total.esc.pred.ac","total.catch.pred.ac","total.pred.ac"
"1",1963,3881686.8,2665133,6546819.8,3865484.84525,2665132.8379,6530617.68315,3865484.84508527,2665132.8379607,6530617.68304597
"2",1964,5217266.6,5316194,10533460.6,5209998.6026,5316193.1353,10526191.7379,5209998.60263946,5316193.13520274,10526191.7378422
"3",1965,28771753.5,24038139,52809892.5,28780415.7579,24038138.2218,52818553.9797,28780415.7555695,24038138.2183637,52818553.9739332
"4",1966,8103267.6,9114442,17217709.6,8191678.6392,9114441.2088,17306119.848,8191678.63945961,9114441.20926806,17306119.8487277
"5",1967,5921714.82,4229597,10151311.82,6013554.23192,4229596.6924,10243150.92432,6013554.23216617,4229596.69296713,10243150.9251333
"6",1968,5170296.4,2720150,7890446.4,5050679.0997,2720149.8175,7770828.9172,5050679.09993151,2720149.81770172,7770828.91763324
"7",1969,12296301.05,6487446,18783747.05,11756056.95248,6487445.7673,18243502.71978,11756056.9512632,6487445.76747243,18243502.7187356
"8",1970,18485401.8,20567389,39052790.8,18694580.9453,20567388.3476,39261969.2929,18694580.944546,20567388.3490521,39261969.2935981
"9",1971,6049075.2,9374927,15424002.2,6075770.6206,9374926.1263,15450696.7469,6075770.62145651,9374926.12501712,15450696.7464736
"10",1972,2903968.56,2315385,5219353.56,2907051.98821,2315384.7922,5222436.78041,2907051.9877077,2315384.79210462,5222436.77981232
"11",1973,1586922.8,653084,2240006.8,1591543.68777,653083.968948,2244627.656718,1591543.68781481,653083.968963683,2244627.65677849
"12",1974,9499012.2,1201730,10700742.2,9426734.40287,1201729.985996,10628464.388866,9426734.40170532,1201729.98613305,10628464.3878384
"13",1975,19214086.6,4636349,23850435.6,18714076.1934,4636348.85722,23350425.05062,18714076.1958688,4636348.85740099,23350425.0532698
"14",1976,5756752.6,5276367,11033119.6,5689759.00875,5276366.5911,10966125.59985,5689759.00894336,5276366.59090294,10966125.5998463
"15",1977,4699330.9,4601784,9301114.9,4700681.26024,4601783.42738,9302464.68762,4700681.26014988,4601783.4271954,9302464.68734528
"16",1978,10063201.1,9364499,19427700.1,9884446.14072,9364498.51696,19248944.65768,9884446.14042824,9364498.51687424,19248944.6573025
"17",1979,18750135.7,20782751,39532886.7,18676165.1343,20782749.9906,39458915.1249,18676165.13148,20782749.990773,39458915.122253
"18",1980,38931461,22980961,61912422,38858881.1513,22980959.6867,61839840.838,38858881.1512739,22980959.6931136,61839840.8443876
"19",1981,8725927.5,24727352,33453279.5,8719988.3583,24727349.278,33447337.6363,8719988.35843068,24727349.2827459,33447337.6411766
"20",1982,7185603.8,14345558,21531161.8,7186164.4159,14345556.243,21531720.6589,7186164.41659842,14345556.2428232,21531720.6594216
"21",1983,8485534,36612565,45098099,8485533.4231,36612557.568,45098090.9911,8485533.42325905,36612557.5647574,45098090.9880164
"22",1984,16561403.7,24352967,40914370.7,16738237.9754,24352964.409,41091202.3844,16738237.9761788,24352964.4069496,41091202.3831284
"23",1985,13166332.7,23307604,36473936.7,13168308.9581,23307598.517,36475907.4751,13168308.9573638,23307598.5172788,36475907.4746427
"24",1986,8133309,15293363,23426672,8146185.6133,15293360.658,23439546.2713,8146185.61231386,15293360.6577264,23439546.2700402
"25",1987,11416958.1,15293497,26710455.1,11284840.9025,15293494.714,26578335.6165,11284840.9025702,15293494.7143476,26578335.6169177
"26",1988,9438233.4,12859122,22297355.4,9457104.1321,12859120.219,22316224.3511,9457104.1325036,12859120.2186742,22316224.3511778
"27",1989,15521958.3,27525638,43047596.3,15422434.8649,27525634.333,42948069.1979,15422434.8647944,27525634.3363494,42948069.2011439
"28",1990,14621751.1,31981747,46603498.1,14540824.2929,31981742.736,46522567.0289,14540824.2919382,31981742.7357798,46522567.027718
"29",1991,16238883.1,24400450,40639333.1,16208412.2237,24400447.263,40608859.4867,16208412.2232859,24400447.2648819,40608859.4881678
"30",1992,13410998.8,30894362,44305360.8,13285092.3831,30894356.985,44179449.3681,13285092.3820027,30894356.9844604,44179449.3664631
