"","Escapement","District Catches","EscapementObsError","OffshoreCatch","Extra Catches","Total Esc","Total Catch no Offshore","Total Catch","Run Size","Run Size no Offshore"
"1963",92142.3722480016,24494.8591130002,41.6277499999997,20539.0137474392,0,92183.9999980016,24494.8591130002,45033.8728604394,137217.872858441,116678.859111002
"1964",128599.665861201,53185.4095341672,-67.6659000000072,9636.51935658274,0,128531.999961201,53185.4095341672,62821.9288907499,191353.928851951,181717.409495368
"1965",180891.83543704,78695.30070623,-51.8354000000108,37931.6101123573,0,180840.00003704,78695.30070623,116626.910818587,297466.910855627,259535.30074327
"1966",206359.999977601,64900.2009014002,0,39452.0124020909,0,206359.999977601,64900.2009014002,104352.213303491,310712.213281092,271260.200879002
"1967",281453.665536132,88651.1362834106,318.334399999992,42527.2430454655,0,281771.999936132,88651.1362834106,131178.379328876,412950.379265008,370423.136219542
"1968",194507.732531903,50730.566106484,0.267499999987194,46075.8559037664,0,194508.000031903,50730.566106484,96806.4220102504,291314.422042154,245238.566138387
"1969",513721.888589015,144772.014022003,-1393.88860000001,104241.436562071,0,512327.999989015,144772.014022003,249013.450584075,761341.450573089,657100.014011018
"1970",375829.403676103,85293.7311976004,-4909.40370000002,66369.7030255237,0,370919.999976103,85293.7311976004,151663.434223124,522583.434199227,456213.731173703
"1971",210870.655152402,76104.0857971034,89.3448999999964,49387.0578071398,0,210960.000052402,76104.0857971034,125491.143604243,336451.143656646,287064.085849506
"1972",60028.8813730015,16351.5829578008,-10.8813700000028,26632.8953997967,25587,60018.0000030014,41938.5829578008,68571.4783575974,128589.478360599,101956.582960802
"1973",59543.9429078042,10173.4704383773,-35.9429099999979,34196.5384327123,12514,59507.9999978042,22687.4704383773,56884.0088710896,116392.008868894,82195.4704361815
"1974",361289.468437001,29837.2998562249,-2537.46840000001,20975.9376384287,21408,358752.000037001,51245.2998562249,72221.2374946536,430973.237531655,409997.299893226
"1975",241085.9999515,24926.99631918,0,18136.3823480655,73552,241085.9999515,98478.99631918,116615.378667246,357701.378618746,339564.99627068
"1976",186766.071193601,53329.3509863002,-646.071200000006,28637.6422431391,41042,186119.999993601,94371.3509863002,123008.993229439,309128.993223041,280491.350979902
"1977",95969.9999380022,5787.42295850015,6.00000057602301e-05,11015.304648908,57645,95969.9999980022,63432.4229585001,74447.7276074081,170417.72760541,159402.422956502
"1978",536165.622850902,164442.247074066,-11.6228999999585,34176.90685807,111624,536153.999950903,276066.247074066,310243.153932136,846397.153883038,812220.247024968
"1979",859559.999630005,313848.842462002,0.000400000018998981,34673.8742683755,184872,859560.000030005,498720.842462002,533394.716730377,1392954.71676038,1358280.84249201
"1980",1987530.509447,128733.18876547,-0.509000000078231,133225.015849143,146224,1987530.000447,274957.18876547,408182.204614613,2395712.20506162,2262487.18921247
"1981",591144.000116601,432087.0504995,-9.99999465420842e-05,80855.330611869,236022,591144.000016601,668109.0504995,748964.381111369,1340108.38112797,1259253.0505161
"1982",423768.255270004,72877.7035654024,-0.255200000014156,59140.5258118929,163137,423768.000070004,236014.703565402,295155.229377295,718923.229447299,659782.703635406
"1983",180266.885188702,787403.344380044,171.11480000001,49029.2220481668,171258,180437.999988702,958661.344380044,1007690.56642821,1188128.56641691,1139099.34436875
"1984",184874.192773002,69393.7801390048,-2.1927999999898,10390.7052499363,35213,184871.999973002,104606.780139005,114997.485388941,299869.485361943,289478.780112007
"1985",212473.144397443,301697.133791053,-19.1443999999901,27753.9199711178,101435,212453.999997443,403132.133791053,430886.053762171,643340.053759614,615586.133788496
"1986",307748.154091403,133243.153839302,-20.1540999999852,14373.8697692372,154013,307727.999991403,287256.153839302,301630.023608539,609358.023599943,594984.153830705
"1987",169232.326593901,158225.50909413,3.67339999999967,11825.9083247935,132386,169235.999993901,290611.50909413,302437.417418924,471673.417412825,459847.509088031
"1988",170433.474325602,62606.3428770007,20.5256999999983,7901.77347963036,52612,170454.000025602,115218.342877001,123120.116356631,293574.116382233,285672.342902602
"1989",462176.584573002,180101.693135201,-566.584600000002,26088.656065746,238887,461609.999973002,418988.693135201,445077.349200947,906687.349173949,880598.693108203
"1990",366227.194859001,185189.7373682,-425.194900000002,15957.1917690538,309329,365801.999959001,494518.7373682,510475.929137254,876277.929096256,860320.737327202
"1991",749910.361691801,469304.219724701,6215.63829999999,46504.0369695399,374777,756125.999991801,844081.219724701,890585.256694241,1646711.25668604,1600207.2197165
"1992",303996.728675701,141110.404433071,923.271400000027,24762.8272791501,0,304920.000075701,141110.404433071,165873.231712221,470793.231787922,446030.404508772
"1993",405566.056033001,250992.645844636,-2.0559999999823,38221.9644291195,22777,405564.000033001,273769.645844636,311991.610273756,717555.610306757,679333.645877637
"1994",446159.203054502,199554.952397641,-239.20299999998,19240.9995135234,242273,445920.000054503,441827.952397641,461068.951911164,906988.951965667,887747.952452143
"1995",473405.582603002,194374.878838001,-23.5826000000234,24070.4377637972,492937,473382.000003002,687311.878838001,711382.316601798,1184764.3166048,1160693.878841
"1996",400171.426862302,264268.246748401,574.57309999998,19033.1824944376,258903,400745.999962302,523171.246748401,542204.429242839,942950.42920514,923917.246710703
"1997",127743.949962002,38045.638887963,-39.9499999999971,14295.2855839424,28887,127703.999962002,66932.638887963,81227.9244719055,208931.924433907,194636.638849965
"1998",215901.666246903,73136.6214162809,2.33369999998831,20900.2206461,116398,215903.999946903,189534.621416281,210434.842062381,426338.842009284,405438.621363184
"1999",445544.078026001,144171.941591002,-8.07789999997476,22401.0270028636,247509,445536.000126001,391680.941591002,414081.968593865,859617.968719866,837216.941717003
"2000",412985.315534901,287657.4352105,330.684499999974,35429.0005331597,247744,413316.000034901,535401.4352105,570830.43574366,984146.43577856,948717.435245401
"2001",409593.003857001,205687.861839601,2.99609999998938,5033.01873004283,198699,409595.999957001,404386.861839601,409419.880569643,819015.880526644,813982.861796601
"2002",123165.608135,47153.4202188,-9.60809999999765,6752.33813933302,22786,123156.000035,69939.4202188,76691.758358133,199847.758393133,193095.4202538
"2003",194072.164865842,159111.37998037,15.8350999999966,7207.36509730295,132053,194087.999965842,291164.37998037,298371.745077673,492459.745043515,485252.379946212
"2004",109771.850141002,78568.0332935012,-121.850099999996,6126.83601211157,74080,109650.000041002,152648.033293501,158774.869305613,268424.869346614,262298.033334503
"2005",366240.394856002,285343.281388001,-528.394800000009,19376.1655215107,130972,365712.000056002,416315.281388001,435691.446909512,801403.446965514,782027.281444003
"2006",305265.441169305,231733.321842402,2.55879999999888,12762.9795370363,178262,305267.999969305,409995.321842402,422758.301379438,728026.301348743,715263.321811707
"2007",415452.571310002,335570.042017282,-0.571300000010524,30521.7215306527,241913,415452.000010002,577483.042017282,608004.763547935,1023456.76355794,992935.042027285
"2008",1054702.324177,433932.567324002,1.67599999997765,65766.6532456461,335887,1054704.000177,769819.567324002,835586.220569648,1890290.22074665,1824523.56750101
"2009",514187.801948001,720030.1976582,0.198099999979604,37441.7447147529,314479,514188.000048001,1034509.1976582,1071950.94237295,1586138.94242095,1548697.1977062
"2010",518053.817470801,468815.241495842,-13.8175000000047,21678.7149466219,399750,518039.999970801,868565.241495842,890243.956442464,1408283.95641326,1386605.24146664
"2011",421379.818238302,198117.824382713,0.181800000020303,29431.1126865479,367746,421380.000038302,565863.824382713,595294.937069261,1016674.93710756,987243.824421015
"2012",193329.718928002,120149.312723201,-3.71890000000712,17016.6931817779,177039,193326.000028002,297188.312723201,314205.005904979,507531.005932981,490514.312751203
"2013",387055.684673501,121202.0612357,-19.6846999999834,34334.9130984321,150777,387035.999973501,271979.0612357,306313.974334132,693349.974307634,659015.061209202
"2014",340598.457950502,620100.515049502,-8.45789999997942,15893.4401952235,459827,340590.000050502,1079927.5150495,1095820.95524473,1436410.95529523,1420517.5151
"2015",651081.351133503,382274.269075592,90.6489000000292,20430.9214817546,589713,651172.000033504,971987.269075592,992418.190557347,1643590.19059085,1623159.2691091
"2016",469229.002900504,584379.748286004,0.997099999978673,27849.2600391524,769348.0781,469230.000000504,1353727.826386,1381577.08642516,1850807.08642566,1822957.82638651
"2017",578699.724971402,160967.67110614,0.275000000023283,26919.2796973578,464013.926701,578699.999971402,624981.59780714,651900.877504498,1230600.8774759,1203681.59777854
"2018",770770.43704471,589427.759987308,1.56299999996554,19561.9012329886,540759.378998,770772.00004471,1130187.13898531,1149749.0402183,1920521.04026301,1900959.13903002
"2019",256065.308057903,700148.271999854,8.69200000001001,11305.7350481199,385944.9304846,256074.000057903,1086093.20248445,1097398.93753257,1353472.93759048,1342167.20254236
