"","Escapement","District Catches","EscapementObsError","OffshoreCatch","Extra Catches","Total Esc","Total Catch no Offshore","Total Catch","Run Size","Run Size no Offshore"
"1963",235703.402020415,152160.416566187,-882.602000000014,68300.1491770237,0,234820.800020415,152160.416566187,220460.565743211,455281.365763626,386981.216586602
"1964",135894.780201717,118439.397849763,-1042.1802,13482.384211264,0,134852.600001717,118439.397849763,131921.782061027,266774.382062744,253291.99785148
"1965",255396.7180534,252583.744885457,396.781900000002,74227.5489948935,0,255793.4999534,252583.744885457,326811.293880351,582604.793833751,508377.244838857
"1966",233577.600313008,126481.594451896,-0.000299999985145405,52366.9147566007,0,233577.600013008,126481.594451896,178848.509208496,412426.109221504,360059.194464903
"1967",74329.4885093018,51377.5855531565,-326.668519999992,14444.4904956783,0,74002.8199893018,51377.5855531565,65822.0760488348,139824.896038137,125380.405542458
"1968",142365.50406116,41942.3340651456,-5.10409999999683,34628.1206369497,0,142360.39996116,41942.3340651456,76570.4547020952,218930.854663256,184302.734026306
"1969",96196.3838820011,63614.8992962906,-391.333879999991,25298.5755390774,0,95805.0500020011,63614.8992962906,88913.474835368,184718.524837369,159419.949298292
"1970",451297.533865602,304965.95211093,1594.26610000001,108849.413929293,0,452891.799965602,304965.95211093,413815.366040223,866707.166005825,757857.752076532
"1971",313570.109322376,264556.708104068,-870.909299999999,99493.0161959455,0,312699.200022376,264556.708104068,364049.724300013,676748.92432239,577255.908126444
"1972",39808.5747640014,25190.6322201018,41.9852299999984,22664.3958736971,0,39850.5599940014,25190.6322201018,47855.0280937989,87705.5880878004,65041.1922141032
"1973",204201.226302012,77948.130205803,6399.57369999998,138394.855064858,0,210600.800002012,77948.130205803,216342.985270661,426943.785272673,288548.930207815
"1974",204025.1220337,35394.7069889137,165.078000000009,12839.9685439265,0,204190.2000337,35394.7069889137,48234.6755328402,252424.87556654,239584.907022614
"1975",832092.597515853,155364.251299852,0.00249999994412065,67323.3834917852,0,832092.600015853,155364.251299852,222687.634791637,1054780.23480749,987456.851315705
"1976",519791.913179,451958.3451515,510.686799999967,115906.567456612,0,520302.599979,451958.3451515,567864.912608112,1088167.51258711,972260.9451305
"1977",611588.399899161,381432.912523682,0.000100000062957406,107495.177931265,0,611588.399999161,381432.912523682,488928.090454947,1100516.49045411,993021.312522843
"1978",734352.88174011,633397.389087443,-312.78170000005,66721.3081700954,0,734040.10004011,633397.389087443,700118.697257538,1434158.79729765,1367437.48912755
"1979",551271.701265137,467838.232221805,-0.00130000000353903,30114.3884676633,0,551271.699965137,467838.232221805,497952.620689468,1049224.32065461,1019109.93218694
"1980",3669371.89329901,1406607.06482,-235.893999999855,319547.785059509,0,3669135.99929901,1406607.06482,1726154.84987951,5395290.84917852,5075743.06411901
