"","years","pred.baywide.total"
"1",1963,2200648.36687402
"2",1964,2875707.07452388
"3",1965,2183515.89704544
"4",1966,3228870.40706139
"5",1967,1704793.50656042
"6",1968,2061558.11813321
"7",1969,2299729.78524293
"8",1970,3630271.61927489
"9",1971,3084367.49409562
"10",1972,1220938.25538475
"11",1973,1296199.31107177
"12",1974,2930017.24649954
"13",1975,3187982.10391264
"14",1976,3116436.63702867
"15",1977,2086592.99640121
"16",1978,6994722.690027
"17",1979,6629501.6309172
"18",1980,13940443.7997839
"19",1981,11242436.4704267
"20",1982,8911995.95272265
"21",1983,7459444.10425809
"22",1984,3991482.62100289
"23",1985,3167706.92034783
"24",1986,5096894.75605302
"25",1987,5372962.64674871
"26",1988,3387795.53970037
"27",1989,5197761.4054549
"28",1990,5876857.64766518
"29",1991,7786172.04413107
"30",1992,5436064.70130341
"31",1993,8050830.64061748
"32",1994,6041492.6056651
"33",1995,6936736.17351098
"34",1996,8529069.21629141
"35",1997,4909686.41032739
"36",1998,5844075.53141897
"37",1999,8717409.69412083
"38",2000,8882592.28225528
"39",2001,7559969.52970044
"40",2002,4755112.43071976
"41",2003,9142103.17214727
"42",2004,8764414.82426198
"43",2005,10360417.795552
"44",2006,16107960.7067274
"45",2007,11297440.6539935
"46",2008,10609768.0434357
"47",2009,10343009.8545221
"48",2010,11427840.0272894
"49",2011,7141333.94714068
"50",2012,4248443.19878766
"51",2013,5997550.89206922
"52",2014,10114512.5629991
"53",2015,9140916.67171667
"54",2016,10814946.2883433
"55",2017,20726218.8811358
"56",2018,34224983.2701683
"57",2019,18003423.2754767
