"","V1"
"1",0.822954
"2",1.39179
"3",0.793323
"4",1.170272
"5",0.657711
"6",0.749281
"7",0.773207
"8",1.188534
"9",1.256799
"10",0.35576
"11",0.259578
"12",0.489163
"13",0.572351
"14",1.22438
"15",0.56138
"16",3.025542
"17",3.142475
"18",4.351563
"19",7.257071
"20",5.75305
"21",4.948486
"22",1.957468
"23",1.206454
"24",2.5653
"25",3.122334
"26",1.654104
"27",2.549298
"28",3.223214
"29",4.679068
"30",2.789741
"31",5.21378
"32",3.15087
"33",3.952963
"34",5.365945
"35",2.006947
"36",2.696125
"37",3.990413
"38",4.873409
"39",4.536101
"40",2.259501
"41",6.533865
"42",6.219633
"43",6.965059
"44",10.698095
"45",8.162198
"46",6.56727
"47",7.415689
"48",6.893187
"49",4.518806
"50",2.217346
"51",3.012271
"52",5.532166
"53",4.99607
"54",7.268141
"55",11.388119
"56",22.79389
"57",14.095829
"58",8.407488
"59",17.149165
