"","V1","V2","V3"
"1",0.092184,0.721404,0.2348208
"2",0.128532,1.076112,0.1348526
"3",0.18084,0.675156,0.2557935
"4",0.20636,1.208682,0.2335776
"5",0.281772,0.515772,0.07400282
"6",0.194508,0.649344,0.1423604
"7",0.512328,0.604338,0.09580505
"8",0.37092,1.161964,0.4528918
"9",0.21096,0.851202,0.3126992
"10",0.060018,0.430602,0.03985056
"11",0.059508,0.330474,0.2106008
"12",0.358752,1.708836,0.2041902
"13",0.241086,1.270116,0.8320926
"14",0.18612,0.817008,0.5203026
"15",0.09597,0.561828,0.6115884
"16",0.536154,2.267238,0.7340401
"17",0.85956,1.706352,0.5512717
"18",1.98753,2.96904,3.669136
"19",0.591144,1.233318,1.118873
"20",0.423768,0.97647,0.6645798
"21",0.180438,1.360968,0.446845
"22",0.184872,1.002792,0.6557392
"23",0.212454,0.939,0.5513192
"24",0.307728,0.818652,1.095241
"25",0.169236,1.337172,0.4291816
"26",0.170454,0.866778,0.5344599
"27",0.46161,1.18641,0.5678633
"28",0.365802,1.06944,0.7525131
"29",0.756126,1.15992,0.5447482
"30",0.30492,1.28625,0.7688161
"31",0.405564,1.176126,0.790927
"32",0.44592,1.47189,0.5633341
"33",0.473382,1.482162,0.3111363
"34",0.400746,1.649598,0.5570573
"35",0.127704,1.512396,0.412591
"36",0.215904,1.755768,0.5075323
"37",0.445536,1.512426,0.3449723
"38",0.413316,1.300026,0.4462865
"39",0.409596,1.458732,0.8971122
"40",0.123156,1.283682,0.3491553
"41",0.194088,1.459782,0.6420929
"42",0.10965,1.543392,0.5438723
"43",0.365712,1.49655,1.106703
"44",0.305268,4.008102,0.54841
"45",0.415452,1.528086,0.518041
"46",1.054704,1.724676,0.492546
"47",0.514188,1.319232,0.484149
"48",0.51804,1.804344,0.468696
"49",0.42138,1.098006,0.428191
"50",0.193326,0.764211,0.432438
"51",0.387036,1.183348,0.894148
"52",0.34059,2.764614,0.618477
"53",0.651172,1.941474,0.796684
"54",0.46923,1.309707,0.680512
"55",0.5787,4.274224,2.852308
"56",0.770772,7.507254,1.24746
"57",0.256074,2.073276,0.709431
"58",0.323814,2.243886,1.228059
"59",0.878952,4.410156,4.697299
