"","Escapement","District Catches","EscapementObsError","OffshoreCatch","Extra Catches","Total Esc","Total Catch no Offshore","Total Catch","Run Size","Run Size no Offshore"
"1963",719151.674788004,646298.712266205,2252.32519999996,230294.553360499,0,721403.999988004,646298.712266205,876593.265626704,1597997.26561471,1367702.71225421
"1964",1068090.68099121,1220165.1576226,8021.3189999999,117527.321345926,0,1076111.99999121,1220165.1576226,1337692.47896852,2413804.47895973,2296277.1576138
"1965",675658.1530774,462043.930280048,-502.153000000049,165307.162164605,0,675156.0000774,462043.930280048,627351.092444653,1302507.09252205,1137199.93035745
"1966",1208681.99954649,978890.162922651,0.000999999931082129,313048.725580583,0,1208682.00054649,978890.162922651,1291938.88850323,2500620.88904972,2187572.16346914
"1967",514152.749766107,517682.252291455,1619.25030000001,116955.953858863,0,515772.000066107,517682.252291455,634638.206150318,1150410.20621642,1033454.25235756
"1968",649322.322451904,656608.06168165,21.6774999999907,242012.828698518,0,649343.999951904,656608.06168165,898620.890380168,1547964.89033207,1305952.06163355
"1969",600741.956728302,564820.064192972,3596.04339999997,182127.109108447,0,604338.000128302,564820.064192972,746947.173301419,1351285.17342972,1169158.06432127
"1970",1152268.90211,798274.280221916,9695.098,278298.570583393,0,1161964.00011,798274.280221916,1076572.85080531,2238536.85091531,1960238.28033192
"1971",849319.380759403,916138.152008361,1882.61919999996,296322.309333444,0,851201.999959403,916138.152008361,1212460.46134181,2063662.46130121,1767340.15196776
"1972",430929.66304815,314217.7675479,-327.663100000005,253730.141249021,0,430601.99994815,314217.7675479,567947.908796921,998549.908745071,744819.76749605
"1973",340127.791415917,171456.393903245,-9653.79139999999,233130.027030987,0,330474.000015917,171456.393903245,404586.420934231,735060.420950148,501930.393919162
"1974",1699007.28554301,423930.990013007,9828.71399999992,111812.178046229,0,1708835.99954301,423930.990013007,535743.168059236,2244579.16760224,2132766.98955601
"1975",1270115.998084,392059.745983016,0.0020000000949949,111671.026468562,0,1270116.000084,392059.745983016,503730.772451578,1773846.77253558,1662175.74606702
"1976",815497.418550603,719092.278455103,1510.58140000002,175806.694066652,0,817007.999950603,719092.278455103,894898.972521755,1711906.97247236,1536100.27840571
"1977",561828.000227709,174159.654449824,-0.00020000000949949,76904.0137805681,0,561828.000027709,174159.654449824,251063.668230392,812891.668258101,735987.654477533
"1978",2266319.34294901,2227702.31255892,918.657000000123,211580.175293996,0,2267237.99994901,2227702.31255892,2439282.48785292,4706520.48780193,4494940.31250793
"1979",1706351.99912501,2360787.84919174,0.000999999931082129,118487.84045145,0,1706352.00012501,2360787.84919174,2479275.68964319,4185627.6897682,4067139.84931675
"1980",2968705.434457,2816222.5365118,334.564999999944,358079.070791799,0,2969039.999457,2816222.5365118,3174301.6073036,6143341.6067606,5785262.5359688
"1981",1233318.0002555,4345530.23960501,0,430185.042726592,0,1233318.0002555,4345530.23960501,4775715.2823316,6009033.2825871,5578848.23986051
"1982",977621.418362004,2695923.47137763,-1151.41839999997,421276.337847402,0,976469.999962004,2695923.47137763,3117199.80922503,4093669.80918703,3672393.47133963
"1983",1360066.31312651,2550637.76306109,901.686999999918,195025.717310384,0,1360968.00012651,2550637.76306109,2745663.48037148,4106631.48049799,3911605.7631876
"1984",1008906.13742301,1255090.75839801,-6114.13699999999,91828.8920777719,0,1002792.00042301,1255090.75839801,1346919.65047578,2349711.65089879,2257882.75882102
"1985",939077.464334709,511063.136419233,-77.4644000000553,77701.0877311174,0,938999.999934709,511063.136419233,588764.22415035,1527764.22408506,1450063.13635394
"1986",823330.115716403,1221756.43927468,-4678.11569999997,65651.5119497316,0,818652.000016403,1221756.43927468,1287407.95122442,2106059.95124082,2040408.43929109
"1987",1336737.18678522,2060304.24557847,434.813000000082,120308.672647853,0,1337171.99978522,2060304.24557847,2180612.91822632,3517784.91801154,3397476.24536369
"1988",867123.881329006,1070215.51673621,-345.881300000008,63008.0005612228,0,866778.000029006,1070215.51673621,1133223.51729743,2000001.51732644,1936993.51676521
"1989",1193546.2748736,1792472.85092107,-7136.27499999991,120858.784138266,0,1186409.9998736,1792472.85092107,1913331.63505934,3099741.63493294,2978882.85079467
"1990",1066236.7006139,2036488.8485267,3203.29900000012,89194.0189993124,0,1069439.9996139,2036488.8485267,2125682.86752601,3195122.86713991,3105928.8481406
"1991",1117844.3882362,3185298.14021191,42075.612,161052.668666638,0,1159920.0002362,3185298.14021191,3346350.80887855,4506270.80911475,4345218.14044811
"1992",1273507.0398711,1626979.84454592,12742.96,158459.934582891,0,1286249.9998711,1626979.84454592,1785439.77912881,3071689.77899991,2913229.84441702
"1993",1176504.141026,3313893.90764577,-378.141000000061,258111.969551467,0,1176126.000026,3313893.90764577,3572005.87719724,4748131.87722324,4490019.90767177
"1994",1433520.62359503,2119838.89320381,38369.3759999999,104865.508110661,0,1471889.99959503,2119838.89320381,2224704.40131448,3696594.40090951,3591728.89279885
"1995",1482696.4938821,3286612.16702155,-534.493999999948,169839.056128357,0,1482161.9998821,3286612.16702155,3456451.22314991,4938613.22303201,4768774.16690365
"1996",1633292.382386,4080313.21977301,16305.618,161257.514852737,68675,1649598.000386,4148988.21977301,4310245.73462574,5959843.73501175,5798586.22015901
"1997",1514707.1049289,1627962.27867349,-2311.10499999998,267691.616371255,470984,1512395.9999289,2098946.27867349,2366637.89504475,3879033.89497365,3611342.27860239
"1998",1756732.37374219,2204894.55060602,-964.374000000069,282281.107117625,178074,1755767.99974219,2382968.55060602,2665249.65772364,4421017.65746584,4138736.55034821
"1999",1512328.49424054,3755726.95619204,97.5049999998882,197431.060508894,1937497,1512425.99924054,5693223.95619204,5890655.01670094,7403081.01594148,7205649.95543258
"2000",1299972.285966,3749703.5997882,53.7139999999199,245209.239753659,1246055,1300025.999966,4995758.5997882,5240967.83954186,6540993.83950786,6295784.5997542
"2001",1459772.6800903,3149776.796609,-1040.67999999993,35589.7820273295,0,1458732.0000903,3149776.796609,3185366.57863633,4644098.57872663,4608508.7966993
"2002",1283780.7612631,1895470.24832458,-98.7609999999404,122936.845207663,557744,1283682.0002631,2453214.24832458,2576151.09353224,3859833.09379534,3736896.24858768
"2003",1463133.9462538,4653538.01012977,-3351.946,120051.908784854,0,1459782.0002538,4653538.01012977,4773589.91891462,6233371.91916842,6113320.01038357
"2004",1543576.30087569,4686700.186533,-184.300999999978,200325.275550323,0,1543391.99987569,4686700.186533,4887025.46208332,6430417.46195901,6230092.18640869
"2005",1504858.3198958,4217591.9913901,-8308.32000000007,167392.434202072,0,1496549.9998958,4217591.9913901,4384984.42559217,5881534.42548797,5714141.9912859
"2006",4008552.963353,8344993.77679382,-450.962999999989,287119.415016619,0,4008102.000353,8344993.77679382,8632113.19181044,12640215.1921634,12353095.7771468
"2007",1528020.33143616,5969270.49288908,65.6689999999944,296886.97314922,0,1528086.00043616,5969270.49288908,6266157.4660383,7794243.46647445,7497356.49332523
"2008",1724609.66077101,4796110.37635005,66.3389999999199,281983.761010737,0,1724675.99977101,4796110.37635005,5078094.13736078,6802770.13713179,6520786.37612106
"2009",1319282.817861,5161981.725568,-50.8179999999702,192464.785745447,0,1319231.999861,5161981.725568,5354446.51131345,6673678.51117445,6481213.725429
"2010",1804032.77664951,5712262.6920612,311.222999999998,161967.182295794,1131093,1804343.99964951,6843355.6920612,7005322.87435699,8809666.8740065,8647699.69171071
"2011",1098004.8087439,3632691.66948652,1.19100000010803,218508.222309495,0,1098005.9997439,3632691.66948652,3851199.89179602,4949205.89153992,4730697.66923042
"2012",764288.859185662,1543861.32606975,-77.859199999948,121723.981645225,268264,764210.999985662,1812125.32606975,1933849.30771497,2698060.30770063,2576336.32605541
"2013",1183158.9601086,1899681.93292426,189.040000000037,203012.594170309,0,1183348.0001086,1899681.93292426,2102694.52709457,3286042.52720317,3083029.93303286
"2014",2764655.314819,4044746.92883261,-41.3149999999441,110987.158721343,245713,2764613.999819,4290459.92883261,4401447.08755395,7166061.08737295,7055073.92865161
"2015",1942368.6844622,2982009.04003382,-894.683999999892,96356.0740347149,0,1941474.0004622,2982009.04003382,3078365.11406854,5019839.11453074,4923483.04049603
"2016",1310017.71079663,4858549.9597795,-310.710999999894,160277.66331238,56040.00575,1309706.99979663,4914589.9655295,5074867.62884188,6384574.62863851,6224296.96532613
"2017",4274348.29207001,6199340.80806433,-124.292999999598,377082.471592657,436766.2709,4274223.99907001,6636107.07896433,7013189.55055699,11287413.549627,10910331.0780343
"2018",7507077.80657481,14048919.55719,176.19299999997,303148.53162162,820845.81637,7507253.99957481,14869765.37356,15172913.9051817,22680167.9047565,22377019.3731348
"2019",2073253.155855,9869975.07531562,22.844000000041,141193.439022199,254188.98007,2073275.999855,10124164.0553856,10265357.4944078,12338633.4942628,12197440.0552406
