"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"Brood Year","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4","Escapement","Recruits","R/S"
"1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA
"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"0","0",NA,NA,NA
"1957",NA,NA,NA,NA,"0",NA,NA,NA,"0","0",NA,NA,"9213.01055497662","0",NA,"0","0","0",NA,NA,NA
"1958",NA,NA,NA,"0","0",NA,NA,"37356.7304107639","0","0",NA,"14002.1694942169","13488.279684912","0","0","0","0","0",NA,NA,NA
"1959",NA,NA,"8.50064278709058e-10","7.02969627072877e-08","0",NA,"75778.7868724637","90589.3051455239","0","0","6.07240745511028e-10","45064.4314373949","16193.6668770054","0","0","0","0","0",NA,NA,NA
"1960",NA,"0","263.850568283032","0","0","6.07240745511028e-10","41541.8841299536","225973.2496451","8.94363532372869e-10","0","106.338716830564","26634.6342561283","29630.3018288748","0","0","8.94363532372869e-10","0","0",NA,NA,NA
"1961","0","6.37365395189903e-10","78.1022539671824","0","0","0","28373.4417361015","253124.411994176","210.564834052736","0","0","9652.72716855057","9303.37438129663","0","0","0","0","0",NA,NA,NA
"1962","0","0","860.108546994374","2.74299743200465e-09","0","0","16810.8725739052","200761.539802834","1.37031353940696e-09","0","0","5143.6676018194","5541.26055409494","0","0","0","5.21621631999123e-09","0",NA,NA,NA
"1963","0","0","292.211728214678","1.37031353940696e-09","0","0","196557.533604264","137345.660903698","0","0","0","22418.4062805172","11591.309550007","0","0","0","0","0","92184","368205.122066703","3.99424110547061"
"1964","0","104.711145004369","506.851533715247","0","0","0","124313.039761216","325005.492834017","0","0","261.393820069712","103991.00089101","28877.0101951486","0","0","0","0","0","128532","583059.500180181","4.5362983551192"
"1965","0","1.4845061060071e-09","4.70731716724397e-09","0","0","299.103495843334","319406.427166208","270050.316174651","2.90064046126669e-09","0","4.45130371205701e-09","168321.36908597","52842.3116547371","0","0","0","0","0","180840","810919.527577424","4.48418230246308"
"1966","0","3.30751460755907e-09","1.79630756016507e-09","2.90064046126669e-09","0","3.17950265196444e-09","54400.7340562783","232636.801883326","122.030703500649","2.02494089736047e-07","1.59283819127496e-09","5391.59210030622","8481.55094435131","1.12489045518664e-09","0","0","60.7208877258421","0","206360","301093.430575705","1.45906876611604"
"1967","0","356.184821022447","429.69371884676","0","1.97330788261211e-07","0","43478.9860461826","59860.6591918687","58.9860052204481","0","8.5332993031961e-10","10883.8954089287","10676.4441893771","0","0","0","0","0","281772","125744.849381645","0.446264530832179"
"1968","0","451.827891038901","166.989383736998","31.2278851172061","0","0","48449.7681851427","101707.189732778","887.865182096085","0","0","513.266387286797","6714.58461572676","0","0","0","0","0","194508","158922.719262924","0.817049783365845"
"1969","0","0","88.4790078301429","0","0","0","829.533383091696","107254.421787998","1386.84784886319","0","0","278332.375578764","88830.5692505424","0","0","0","0","0","512328","476722.22685709","0.930501996488753"
