"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"Brood Year","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4","Escapement","Recruits","R/S"
"1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA
"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"0","0",NA,NA,NA
"1957",NA,NA,NA,NA,"0",NA,NA,NA,"0","0",NA,NA,"45331.2470340719","0",NA,"0","0","0",NA,NA,NA
"1958",NA,NA,NA,"0","0",NA,NA,"454726.86534258","0","0",NA,"173490.018868763","26844.9377695684","0","0","0","0","0",NA,NA,NA
"1959",NA,NA,"9.90847872971627e-09","239.267237215074","0",NA,"913618.955818994","459257.996094195","0","0","15261.920622288","317280.303536257","39571.6463804479","0","0","0","0","0",NA,NA,NA
"1960",NA,"0","263.056452873105","0","0","5720.12056519903","1613475.85121751","942918.878799654","4285.44609381774","0","69.2216387263521","96605.8049150674","89078.1017735942","0","0","6.81105605095242e-09","0","0",NA,NA,NA
"1961","0","148.129632840126","2738.29389176394","0","0","0","219018.512886657","1425906.6517406","872.318328290097","0","0","13467.207145455","25321.6451839011","685.488645972891","0","0","0","0",NA,NA,NA
"1962","0","851.15068389456","1.11127756591495e-08","504.344337571568","0","1739.90468475058","972899.170687693","423281.065562508","4132.7244875637","0","95.5071585173853","109290.708779372","40660.0667171271","0","0","0","243.297390103012","0",NA,NA,NA
"1963","0","0","1.05166790009273e-08","4.46326924721433e-09","0","0","591971.604637988","949089.224606835","0","0","659.799456068188","53951.3343071618","39410.7471216393","815.046410243116","0","0","0","0","721404","1635897.75653995","2.26765828376326"
"1964","0","6.82559837905354e-09","5177.90762435867","0","0","116.745000290151","494032.350595696","321311.890444229","0","0","911.854634305276","386787.693489109","80979.7153232577","0","0","0","0","0","1076112","1289318.15711125","1.19812636334438"
"1965","0","2075.7064999679","2103.28742852636","0","0","596.183368593091","598085.489498058","1025377.76644247","4915.23721187714","0","133.986365625983","172006.001987339","219608.765373897","0","0","0","0","0","675156","2024902.42417635","2.99916230349187"
"1966","0","4.99314562895074e-09","1.09227989683794e-08","9.89769755400085e-08","0","5593.41810981223","960078.548591369","1210016.68199728","5684.64546559802","324.03548923772","223.188758653708","50200.295792334","64467.2089250041","254.308004071871","0","0","0","0","1208682","2296842.33113348","1.90028670165807"
"1967","0","0","7462.41698218766","329.941326118694","39.855316162351","1500.7516216704","577522.824134909","290830.625503602","669.30483067045","0","528.824515022784","81997.7454389224","100150.685886258","0","0","0","0","0","515772","1061032.97555552","2.05717444055808"
"1968","0","0","5690.84731299468","6.80177086058001e-09","0","912.380123194964","555642.174957015","579154.607773335","4465.72733602862","0","0","4021.42313197774","21696.5043260745","0","0","0","0","0","649344","1171583.66496063","1.80425731963432"
"1969","0","0","1945.39892849907","0","0","0","62255.7512207583","438421.700800521","10322.6659596693","0","0","384226.778488597","95045.2202131009","0","0","0","0","0","604338","992217.515611145","1.64182546126695"
